Date,reer
1998-03-31,102.25
1998-04-30,102.46
1998-05-31,103.65
1998-06-30,104.22
1998-07-31,103.87
1998-08-31,105.16
1998-09-30,108.46
1998-10-31,109.41
1998-11-30,107.74
1998-12-31,108.41
1999-01-31,107.58
1999-02-28,106.36
1999-03-31,105.61
1999-04-30,105.16
1999-05-31,104.95
1999-06-30,103.62
1999-07-31,103.18
1999-08-31,103.85
1999-09-30,103.15
1999-10-31,103.89
1999-11-30,102.36
1999-12-31,101.43
2000-01-31,101.72
2000-02-29,101.35
2000-03-31,100.58
2000-04-30,99.91
2000-05-31,98.92
2000-06-30,100.6
2000-07-31,99.91
2000-08-31,98.75
2000-09-30,97.95
2000-10-31,97.28
2000-11-30,97.45
2000-12-31,99.04
2001-01-31,100.97
2001-02-28,100.73
2001-03-31,101.14
2001-04-30,100.59
2001-05-31,99.76
2001-06-30,99
2001-07-31,98.98
2001-08-31,100.91
2001-09-30,101.93
2001-10-31,101.67
2001-11-30,100.28
2001-12-31,100.41
2002-01-31,100.1
2002-02-28,99.48
2002-03-31,99.62
2002-04-30,99.91
2002-05-31,101.14
2002-06-30,102.2
2002-07-31,103.43
2002-08-31,102.98
2002-09-30,103.01
2002-10-31,103.29
2002-11-30,103.34
2002-12-31,103.6
2003-01-31,104.74
2003-02-28,105.57
2003-03-31,105.91
2003-04-30,105.68
2003-05-31,107.68
2003-06-30,107.78
2003-07-31,106.45
2003-08-31,105.82
2003-09-30,105.64
2003-10-31,106.43
2003-11-30,106.2
2003-12-31,107.71
2004-01-31,107.89
2004-02-29,108.23
2004-03-31,106.29
2004-04-30,104.97
2004-05-31,105.29
2004-06-30,105.3
2004-07-31,105.52
2004-08-31,105.52
2004-09-30,105.71
2004-10-31,106.24
2004-11-30,106.42
2004-12-31,106.89
2005-01-31,105.79
2005-02-28,105.54
2005-03-31,105.86
2005-04-30,105.23
2005-05-31,104.04
2005-06-30,102.66
2005-07-31,102.21
2005-08-31,102.73
2005-09-30,102.53
2005-10-31,101.94
2005-11-30,101.46
2005-12-31,101.24
2006-01-31,100.94
2006-02-28,100.78
2006-03-31,101.18
