Date,reer
1998-04-30,102.55
1998-05-31,102.93
1998-06-30,103.04
1998-07-31,102.7
1998-08-31,103.24
1998-09-30,104.46
1998-10-31,104.81
1998-11-30,104.3
1998-12-31,104.57
1999-01-31,104.17
1999-02-28,103.69
1999-03-31,103.18
1999-04-30,102.34
1999-05-31,102.34
1999-06-30,101.38
1999-07-31,101.02
1999-08-31,101.44
1999-09-30,100.92
1999-10-31,101.59
1999-11-30,100.8
1999-12-31,100.44
2000-01-31,100.06
2000-02-29,99.85
2000-03-31,99.54
2000-04-30,98.88
2000-05-31,98.32
2000-06-30,99.72
2000-07-31,99.26
2000-08-31,98.48
2000-09-30,97.67
2000-10-31,97.53
2000-11-30,97.86
2000-12-31,98.68
2001-01-31,99.95
2001-02-28,99.55
2001-03-31,99.51
2001-04-30,99.31
2001-05-31,98.47
2001-06-30,97.9
2001-07-31,98.39
2001-08-31,99.11
2001-09-30,99.57
2001-10-31,99.64
2001-11-30,99.03
2001-12-31,98.85
2002-01-31,98.69
2002-02-28,98.11
2002-03-31,97.96
2002-04-30,98.09
2002-05-31,99
2002-06-30,99.9
2002-07-31,100.43
2002-08-31,100.49
2002-09-30,100.26
2002-10-31,100.49
2002-11-30,100.58
2002-12-31,100.73
2003-01-31,101.5
2003-02-28,101.42
2003-03-31,101.59
2003-04-30,101.65
2003-05-31,102.8
2003-06-30,103.13
2003-07-31,102.62
2003-08-31,102.49
2003-09-30,102.31
2003-10-31,102.66
2003-11-30,102.97
2003-12-31,103.7
2004-01-31,103.94
2004-02-29,103.9
2004-03-31,103.21
2004-04-30,102.41
2004-05-31,102.76
2004-06-30,103.06
2004-07-31,103.01
2004-08-31,103.21
2004-09-30,103.23
2004-10-31,103.62
2004-11-30,104.17
2004-12-31,104.49
2005-01-31,104.32
2005-02-28,103.75
2005-03-31,103.93
2005-04-30,103.33
2005-05-31,103.09
2005-06-30,102.46
2005-07-31,101.91
2005-08-31,102.1
2005-09-30,101.97
2005-10-31,101.77
2005-11-30,101.4
2005-12-31,101.43
2006-01-31,101.26
2006-02-28,100.8
2006-03-31,101.19
2006-04-30,101.67
2006-05-31,102.05
2006-06-30,102.32
2006-07-31,102.03
2006-08-31,102.25
2006-09-30,102.17
2006-10-31,101.81
2006-11-30,101.93
2006-12-31,101.99
2007-01-31,101.74
2007-02-28,101.67
2007-03-31,101.94
2007-04-30,102.27
2007-05-31,102.28
2007-06-30,102.16
2007-07-31,102.09
2007-08-31,101.86
2007-09-30,102.08
2007-10-31,102.49
2007-11-30,102.81
2007-12-31,103.06
2008-01-31,102.69
2008-02-29,102.06
2008-03-31,103.13
2008-04-30,103.5
2008-05-31,103.34
2008-06-30,102.93
2008-07-31,102.39
2008-08-31,101.58
2008-09-30,101.47
2008-10-31,100.82
2008-11-30,100.64
2008-12-31,102.16
2009-01-31,101.97
2009-02-28,101.95
2009-03-31,102.74
2009-04-30,102.38
2009-05-31,102.65
2009-06-30,102.77
2009-07-31,102.39
2009-08-31,102.62
2009-09-30,103.12
2009-10-31,103.24
2009-11-30,103.43
2009-12-31,102.81
2010-01-31,101.88
2010-02-28,100.72
2010-03-31,100.97
2010-04-30,100.57
2010-05-31,99.64
2010-06-30,99.09
2010-07-31,99.19
2010-08-31,99.14
2010-09-30,99.3
2010-10-31,100.45
2010-11-30,99.77
2010-12-31,99.28
2011-01-31,98.91
2011-02-28,99.44
2011-03-31,100.59
2011-04-30,101.17
2011-05-31,100.83
2011-06-30,100.81
2011-07-31,100.28
2011-08-31,100.32
2011-09-30,100.45
2011-10-31,100.62
2011-11-30,100.55
2011-12-31,99.98
2012-01-31,98.57
2012-02-29,98.62
2012-03-31,99.18
2012-04-30,99.31
2012-05-31,98.91
2012-06-30,98.93
2012-07-31,97.8
2012-08-31,97.71
2012-09-30,99.03
2012-10-31,99.28
2012-11-30,99.25
2012-12-31,99.75
2013-01-31,99.75
2013-02-28,99.86
2013-03-31,99.91
2013-04-30,100.17
2013-05-31,100.27
2013-06-30,100.78
2013-07-31,100.08
2013-08-31,100.53
2013-09-30,101.26
2013-10-31,101.47
2013-11-30,101.61
