Date,pmi
2017-02-28,49.3
2017-03-31,49.2
2017-04-30,47.4
2017-05-31,45.4
2017-06-30,46.1
2017-07-31,46.2
2017-08-31,46
2017-09-30,48.3
2017-10-31,49.3
2017-11-30,48.1
2017-12-31,48.8
2018-01-31,47
2018-02-28,49.7
2018-03-31,50.7
2018-04-30,52.1
2018-05-31,51.1
2018-06-30,53
2018-07-31,53.5
2018-08-31,53.3
2018-09-30,52.8
2018-10-31,52
2018-11-30,51.6
2018-12-31,51.5
2019-01-31,48.5
2019-02-28,49.5
2019-03-31,48.9
2019-04-30,51
2019-05-31,50.8
2019-06-30,49.2
2019-07-31,51.5
2019-08-31,50.3
2019-09-30,50.9
2019-10-31,51.1
2019-11-30,52.9
2019-12-31,52.4
2020-01-31,53.4
