Date,pmi
2017-03-31,56.3
2017-04-30,55.5
2017-05-31,55.9
2017-06-30,56.2
2017-07-31,54.4
2017-08-31,53.5
2017-09-30,53.8
2017-10-31,55.5
2017-11-30,56.3
2017-12-31,57.1
2018-01-31,55.4
2018-02-28,55.6
2018-03-31,54.3
2018-04-30,55.5
2018-05-31,53.2
2018-06-30,55
2018-07-31,52.4
2018-08-31,53.2
2018-09-30,54
2018-10-31,54.5
2018-11-30,54.6
2018-12-31,54
2019-01-31,53.9
2019-02-28,52.9
2019-03-31,52
2019-04-30,50.9
2019-05-31,51
2019-06-30,52
2019-07-31,51.6
2019-08-31,50.9
2019-09-30,50.3
2019-10-31,50
2019-11-30,49.9
2019-12-31,49.2
2020-01-31,49.6
2020-02-29,50.2
