Date,pmi
2017-03-31,56.2
2017-04-30,54.4
2017-05-31,53.1
2017-06-30,53.3
2017-07-31,53.6
2017-08-31,54.3
2017-09-30,54.2
2017-10-31,53.6
2017-11-30,56.3
2017-12-31,56.6
2018-01-31,56.9
2018-02-28,56
2018-03-31,55.3
2018-04-30,54.8
2018-05-31,53.4
2018-06-30,54.5
2018-07-31,53.1
2018-08-31,53
2018-09-30,50.8
2018-10-31,48.7
2018-11-30,48.4
2018-12-31,47.7
2019-01-31,47.5
2019-02-28,46.3
2019-03-31,49
2019-04-30,48.2
2019-05-31,48.4
2019-06-30,45.5
2019-07-31,48.1
2019-08-31,47.9
2019-09-30,50
2019-10-31,49.8
2019-11-30,49.8
2019-12-31,50.8
2020-01-31,51.8
2020-02-29,49.9
