Date,pmi
2017-03-31,46.7
2017-04-30,48.2
2017-05-31,49.6
2017-06-30,50.5
2017-07-31,50.5
2017-08-31,52.2
2017-09-30,52.8
2017-10-31,52.1
2017-11-30,52.2
2017-12-31,53.1
2018-01-31,55.2
2018-02-28,56.1
2018-03-31,55
2018-04-30,52.9
2018-05-31,54.2
2018-06-30,53.5
2018-07-31,53.5
2018-08-31,53.9
2018-09-30,53.6
2018-10-31,53.1
2018-11-30,54
2018-12-31,53.8
2019-01-31,53.7
2019-02-28,54.2
2019-03-31,54.7
2019-04-30,56.6
2019-05-31,54.2
2019-06-30,52.4
2019-07-31,54.6
2019-08-31,54.9
2019-09-30,53.6
2019-10-31,53.5
2019-11-30,54.1
2019-12-31,53.9
2020-01-31,54.4
2020-02-29,56.2
