Date,pmi
2017-03-31,53.3
2017-04-30,55.1
2017-05-31,53.8
2017-06-30,54.8
2017-07-31,54.9
2017-08-31,55.8
2017-09-30,56.1
2017-10-31,56.1
2017-11-30,57.7
2017-12-31,58.8
2018-01-31,58.4
2018-02-28,55.9
2018-03-31,53.7
2018-04-30,53.8
2018-05-31,54.4
2018-06-30,52.5
2018-07-31,53.3
2018-08-31,53.5
2018-09-30,52.5
2018-10-31,51.2
2018-11-30,50.8
2018-12-31,49.7
2019-01-31,51.2
2019-02-28,51.5
2019-03-31,49.7
2019-04-30,50
2019-05-31,50.6
2019-06-30,51.9
2019-07-31,49.7
2019-08-31,51.1
2019-09-30,50.1
2019-10-31,50.7
2019-11-30,51.7
2019-12-31,50.4
2020-01-31,51.1
2020-02-29,49.7
