Date,pmi
2017-02-28,55
2017-03-31,55.7
2017-04-30,56.2
2017-05-31,55.1
2017-06-30,55.2
2017-07-31,55.1
2017-08-31,56.3
2017-09-30,56.3
2017-10-31,57.8
2017-11-30,58.3
2017-12-31,57.4
2018-01-31,59
2018-02-28,56.8
2018-03-31,55.1
2018-04-30,53.5
2018-05-31,52.7
2018-06-30,53.3
2018-07-31,51.5
2018-08-31,50.1
2018-09-30,50
2018-10-31,49.2
2018-11-30,48.6
2018-12-31,49.2
2019-01-31,47.8
2019-02-28,47.7
2019-03-31,47.4
2019-04-30,49.1
2019-05-31,49.7
2019-06-30,48.4
2019-07-31,48.5
2019-08-31,48.7
2019-09-30,47.8
2019-10-31,47.7
2019-11-30,47.6
2019-12-31,46.2
2020-01-31,48.9
