Date,pmi
2017-03-31,58.3
2017-04-30,58.2
2017-05-31,59.5
2017-06-30,59.6
2017-07-31,58.1
2017-08-31,59.3
2017-09-30,60.6
2017-10-31,60.6
2017-11-30,62.5
2017-12-31,63.3
2018-01-31,61.1
2018-02-28,60.6
2018-03-31,58.2
2018-04-30,58.1
2018-05-31,56.9
2018-06-30,55.9
2018-07-31,56.9
2018-08-31,55.9
2018-09-30,53.7
2018-10-31,52.2
2018-11-30,51.8
2018-12-31,51.5
2019-01-31,49.7
2019-02-28,47.6
2019-03-31,44.1
2019-04-30,44.4
2019-05-31,44.3
2019-06-30,45
2019-07-31,43.2
2019-08-31,43.5
2019-09-30,41.7
2019-10-31,42.1
2019-11-30,44.1
2019-12-31,43.7
2020-01-31,45.3
2020-02-29,47.8
