Date,pmi
2017-03-31,57.8
2017-04-30,57.8
2017-05-31,57.6
2017-06-30,58.6
2017-07-31,58.9
2017-08-31,59.7
2017-09-30,60
2017-10-31,60.4
2017-11-30,62.4
2017-12-31,62.2
2018-01-31,62.5
2018-02-28,63.4
2018-03-31,61.5
2018-04-30,60.7
2018-05-31,60.3
2018-06-30,60.1
2018-07-31,58
2018-08-31,59.1
2018-09-30,59.8
2018-10-31,57.1
2018-11-30,56.1
2018-12-31,57.2
2019-01-31,55.1
2019-02-28,52.7
2019-03-31,52.5
2019-04-30,52
2019-05-31,52.2
2019-06-30,50.7
2019-07-31,50.7
2019-08-31,51.6
2019-09-30,51.6
2019-10-31,50.3
2019-11-30,49.6
2019-12-31,48.3
2020-01-31,49.9
2020-02-29,52.9
