Date,pmi
2017-03-31,48.4
2017-04-30,49.4
2017-05-31,49.2
2017-06-30,50.1
2017-07-31,49.1
2017-08-31,49.9
2017-09-30,50.6
2017-10-31,50.2
2017-11-30,51.2
2017-12-31,49.9
2018-01-31,50.7
2018-02-28,50.3
2018-03-31,49.1
2018-04-30,48.4
2018-05-31,48.9
2018-06-30,49.8
2018-07-31,48.3
2018-08-31,49.9
2018-09-30,51.3
2018-10-31,51
2018-11-30,48.6
2018-12-31,49.8
2019-01-31,48.3
2019-02-28,47.2
2019-03-31,48.8
2019-04-30,50.2
2019-05-31,48.4
2019-06-30,47.5
2019-07-31,47.3
2019-08-31,49
2019-09-30,48
2019-10-31,48.4
2019-11-30,49.4
2019-12-31,50.1
2020-01-31,49.8
2020-02-29,48.7
