Date,pmi
2017-03-31,53.5
2017-04-30,54.1
2017-05-31,52.7
2017-06-30,53.1
2017-07-31,52.3
2017-08-31,52.5
2017-09-30,53.7
2017-10-31,53.4
2017-11-30,54.2
2017-12-31,55
2018-01-31,54.6
2018-02-28,53.7
2018-03-31,53.7
2018-04-30,53.9
2018-05-31,53.3
2018-06-30,54.2
2018-07-31,52.9
2018-08-31,51.4
2018-09-30,50.5
2018-10-31,50.4
2018-11-30,49.5
2018-12-31,47.6
2019-01-31,48.2
2019-02-28,47.6
2019-03-31,48.7
2019-04-30,49
2019-05-31,48.8
2019-06-30,48.4
2019-07-31,47.4
2019-08-31,48.8
2019-09-30,47.8
2019-10-31,45.6
2019-11-30,46.7
2019-12-31,48
2020-01-31,47.4
2020-02-29,48.2
