Date,pmi
2017-02-28,49.7
2017-03-31,52.3
2017-04-30,51.7
2017-05-31,53.5
2017-06-30,54.7
2017-07-31,53.6
2017-08-31,55.3
2017-09-30,53.5
2017-10-31,52.8
2017-11-30,52.9
2017-12-31,54.9
2018-01-31,55.7
2018-02-28,55.6
2018-03-31,51.8
2018-04-30,48.9
2018-05-31,46.4
2018-06-30,46.8
2018-07-31,49
2018-08-31,46.4
2018-09-30,42.7
2018-10-31,44.3
2018-11-30,44.7
2018-12-31,44.2
2019-01-31,44.2
2019-02-28,46.4
2019-03-31,47.2
2019-04-30,46.8
2019-05-31,45.3
2019-06-30,47.9
2019-07-31,46.7
2019-08-31,48
2019-09-30,50
2019-10-31,49
2019-11-30,49.5
2019-12-31,49.5
2020-01-31,51.3
