Date,mkt_cap
2012-04-18,1901-07-07 18:21:36
2012-04-19,1901-07-11 03:48:57.600000
2012-04-20,1901-07-17 00:59:02.400000
2012-04-23,1901-07-08 16:04:48
2012-04-24,1901-07-08 16:04:48
2012-04-25,1901-07-15 10:58:04.800000
2012-04-26,1901-07-15 21:50:24
2012-04-27,1901-07-15 10:58:04.800000
2012-04-30,1901-07-14 13:16:19.200000
2012-05-01,1901-07-18 09:34:33.600000
2012-05-02,1901-07-19 14:44:09.600000
2012-05-03,1901-07-14 08:26:52.800000
2012-05-04,1901-07-08 20:42:43.200000
2012-05-07,1901-07-08 04:13:26.400000
2012-05-08,1901-07-01 13:01:55.200000
2012-05-09,1901-06-23 18:21:36
2012-05-10,1901-06-22 03:56:09.600000
2012-05-11,1901-06-21 00:28:48
2012-05-14,1901-06-11 04:24:57.600000
2012-05-15,1901-06-05 22:09:07.200000
2012-05-16,1901-06-04 07:42:14.400000
2012-05-17,1901-05-30 12:24:28.800000
2012-05-18,1901-05-30 01:26:24
2012-05-21,1901-06-07 18:04:19.200000
2012-05-22,1901-06-05 16:39:21.600000
2012-05-23,1901-06-10 07:26:24
2012-05-24,1901-06-05 21:24:28.800000
2012-05-25,1901-06-05 21:24:28.800000
2012-05-28,1901-06-05 21:24:28.800000
2012-05-29,1901-06-09 20:16:48
2012-05-30,1901-06-01 22:33:36
2012-05-31,1901-05-31 07:29:16.800000
2012-06-01,1901-05-23 20:57:07.200000
2012-06-04,1901-05-22 17:02:24
2012-06-05,1901-05-21 07:33:36
2012-06-06,1901-06-06 03:00:00
2012-06-07,1901-06-07 01:19:12
2012-06-08,1901-06-06 08:35:31.200000
2012-06-11,1901-06-02 09:43:12
2012-06-12,1901-06-10 18:36:00
2012-06-13,1901-06-12 20:48:28.800000
2012-06-14,1901-06-10 11:32:38.400000
2012-06-15,1901-06-12 19:03:21.600000
2012-06-18,1901-06-10 22:39:21.600000
2012-06-19,1901-06-20 06:43:12
2012-06-20,1901-06-19 08:38:24
2012-06-21,1901-05-20 09:57:36
2012-06-22,1901-05-24 06:46:04.800000
2012-06-25,1901-05-14 22:55:12
2012-06-26,1901-05-17 21:53:16.800000
2012-06-27,1901-05-20 09:57:36
2012-06-28,1901-05-18 19:45:07.200000
2012-06-29,1901-06-04 04:50:52.800000
2012-07-02,1901-06-06 00:31:40.800000
2012-07-03,1901-06-11 06:07:12
2012-07-04,1901-06-11 06:07:12
2012-07-05,1901-06-02 03:43:12
2012-07-06,1901-05-27 16:40:48
2012-07-09,1901-05-27 00:18:43.200000
2012-07-10,1901-05-24 12:14:24
2012-07-11,1901-05-25 15:31:40.800000
2012-07-12,1901-05-21 02:19:40.800000
2012-07-13,1901-05-26 13:23:31.200000
2012-07-16,1901-05-26 18:50:24
2012-07-17,1901-05-29 18:54:43.200000
2012-07-18,1901-06-02 14:38:24
2012-07-19,1901-06-07 09:18:43.200000
2012-07-20,1901-05-29 23:16:48
2012-07-23,1901-05-20 09:57:36
2012-07-24,1901-05-16 02:13:55.200000
2012-07-25,1901-05-20 15:24:28.800000
