Date,mkt_cap
2012-03-22,1907-04-07 01:55:12
2012-03-23,1907-05-14 04:48:00
2012-03-26,1907-06-24 23:02:24
2012-03-27,1907-05-31 14:24:00
2012-03-28,1907-05-25 17:31:12
2012-03-29,1907-05-08 04:04:48
2012-03-30,1907-05-21 22:48:00
2012-04-02,1907-06-04 17:16:48
2012-04-03,1907-03-26 08:09:36
2012-04-04,1907-02-22 12:43:12
2012-04-05,1907-03-01 04:19:12
2012-04-06,1907-03-01 04:19:12
2012-04-09,1907-02-07 16:19:12
2012-04-10,1907-01-02 09:36:00
2012-04-11,1907-01-14 18:43:12
2012-04-12,1907-03-24 11:16:48
2012-04-13,1907-02-18 16:33:36
2012-04-16,1907-02-28 19:40:48
2012-04-17,1907-03-12 10:04:48
2012-04-18,1907-03-06 19:55:12
2012-04-19,1907-03-10 04:19:12
2012-04-20,1907-03-23 14:24:00
2012-04-23,1907-02-11 08:24:00
2012-04-24,1907-03-04 14:09:36
2012-04-25,1907-04-11 14:24:00
2012-04-26,1907-04-16 01:55:12
2012-04-27,1907-05-02 20:24:00
2012-04-30,1907-04-18 07:26:24
2012-05-01,1907-05-01 17:31:12
2012-05-02,1907-04-25 00:28:48
2012-05-03,1907-04-01 12:57:36
2012-05-04,1907-01-25 13:55:12
2012-05-07,1907-01-24 11:02:24
2012-05-08,1906-12-02 22:04:48
2012-05-09,1906-10-30 07:55:12
2012-05-10,1906-11-30 11:02:24
2012-05-11,1906-11-07 02:38:24
2012-05-14,1906-10-13 15:36:00
2012-05-15,1906-08-23 16:48:00
2012-05-16,1906-06-30 19:12:00
2012-05-17,1906-05-05 02:09:36
2012-05-18,1906-03-29 23:45:36
2012-05-21,1906-04-04 14:09:36
2012-05-22,1906-03-20 14:38:24
2012-05-23,1906-02-19 17:16:48
2012-05-24,1906-02-07 22:48:00
2012-05-25,1906-01-01 19:55:12
2012-05-28,1906-01-01 19:55:12
2012-05-29,1906-03-09 23:45:36
2012-05-30,1906-01-09 06:57:36
2012-05-31,1906-01-21 00:28:48
2012-06-01,1905-12-10 10:33:36
2012-06-04,1905-12-31 18:14:24
2012-06-05,1906-01-24 05:02:24
2012-06-06,1906-04-10 23:16:48
2012-06-07,1906-04-12 00:43:12
2012-06-08,1906-04-08 19:55:12
2012-06-11,1906-03-01 23:45:36
2012-06-12,1906-04-08 19:55:12
2012-06-13,1906-03-14 18:43:12
2012-06-14,1906-03-27 00:57:36
2012-06-15,1906-04-28 00:28:48
2012-06-18,1906-05-26 19:12:00
2012-06-19,1906-07-06 07:26:24
2012-06-20,1906-06-22 10:48:00
2012-06-21,1906-02-04 00:14:24
2012-06-22,1906-02-18 21:07:12
2012-06-25,1906-01-08 11:02:24
2012-06-26,1906-01-25 14:24:00
2012-06-27,1906-02-23 02:38:24
2012-06-28,1906-01-30 21:07:12
2012-06-29,1906-04-25 08:38:24
2012-07-02,1906-05-14 08:52:48
2012-07-03,1906-05-30 05:02:24
2012-07-04,1906-05-30 05:02:24
2012-07-05,1906-05-25 23:31:12
2012-07-06,1906-04-29 13:55:12
2012-07-09,1906-04-24 07:12:00
2012-07-10,1906-03-23 14:52:48
2012-07-11,1906-04-14 19:12:00
2012-07-12,1906-03-12 00:14:24
2012-07-13,1906-04-21 03:21:36
2012-07-16,1906-04-25 08:38:24
2012-07-17,1906-05-29 03:36:00
2012-07-18,1906-06-12 22:33:36
2012-07-19,1906-07-13 23:45:36
2012-07-20,1906-05-28 15:36:00
2012-07-23,1906-03-28 04:48:00
2012-07-24,1906-03-14 17:31:12
2012-07-25,1906-04-11 16:48:00
2012-07-26,1906-05-25 05:16:48
2012-07-27,1906-07-27 09:50:24
2012-07-30,1906-07-29 11:31:12
2012-07-31,1906-07-28 10:48:00
2012-08-01,1906-07-08 08:38:24
2012-08-02,1906-07-03 05:02:24
2012-08-03,1906-08-18 13:26:24
2012-08-06,1906-08-18 13:26:24
2012-08-07,1906-08-28 20:38:24
2012-08-08,1906-09-14 08:09:36
2012-08-09,1906-09-13 07:26:24
2012-08-10,1906-09-12 06:43:12
2012-08-13,1906-08-17 12:43:12
2012-08-14,1906-08-13 09:50:24
2012-08-15,1906-08-25 23:02:24
2012-08-16,1906-11-20 10:33:36
2012-08-17,1906-11-13 00:28:48
2012-08-20,1906-12-01 00:57:36
2012-08-21,1906-12-23 07:12:00
2012-08-22,1907-01-10 23:45:36
2012-08-23,1906-12-10 00:14:24
2012-08-24,1906-12-06 19:40:48
2012-08-27,1906-11-19 18:14:24
2012-08-28,1906-11-28 06:57:36
2012-08-29,1906-11-21 21:21:36
2012-08-30,1906-10-05 23:45:36
2012-08-31,1906-11-05 21:36:00
2012-09-03,1906-11-05 21:36:00
2012-09-04,1906-09-22 03:07:12
2012-09-05,1906-07-27 03:50:24
2012-09-06,1906-09-23 14:52:48
2012-09-07,1906-10-12 09:50:24
2012-09-10,1906-09-13 04:19:12
2012-09-11,1906-09-22 04:33:36
2012-09-12,1906-10-01 11:31:12
2012-09-13,1906-11-14 20:38:24
2012-09-14,1906-12-01 08:52:48
2012-09-17,1906-11-02 11:16:48
2012-09-18,1906-10-28 07:26:24
2012-09-19,1906-10-06 22:19:12
2012-09-20,1906-09-20 16:04:48
2012-09-21,1906-09-05 03:50:24
2012-09-24,1906-08-23 00:43:12
2012-09-25,1906-07-20 16:48:00
2012-09-26,1906-05-12 05:02:24
2012-09-27,1906-06-24 12:00:00
2012-09-28,1906-05-28 22:33:36
2012-10-01,1906-06-20 13:40:48
2012-10-02,1906-06-17 14:52:48
2012-10-03,1906-04-22 19:26:24
2012-10-04,1906-05-04 11:45:36
2012-10-05,1906-04-13 08:38:24
2012-10-08,1906-04-13 08:38:24
2012-10-09,1906-04-09 12:43:12
2012-10-10,1906-04-13 08:38:24
2012-10-11,1906-04-26 17:45:36
2012-10-12,1906-04-19 02:09:36
2012-10-15,1906-05-12 00:57:36
2012-10-16,1906-05-27 07:55:12
2012-10-17,1906-07-06 11:31:12
2012-10-18,1906-06-29 18:57:36
2012-10-19,1906-06-04 22:33:36
2012-10-22,1906-06-09 17:16:48
2012-10-23,1906-05-07 06:14:24
2012-10-24,1906-05-22 13:12:00
2012-10-25,1906-06-08 18:14:24
2012-10-26,1906-05-14 13:12:00
2012-10-29,1906-05-14 13:12:00
2012-10-30,1906-05-14 13:12:00
2012-10-31,1906-05-23 02:24:00
2012-11-01,1906-05-23 02:24:00
2012-11-02,1906-04-17 00:00:00
2012-11-05,1906-05-02 04:48:00
2012-11-06,1906-06-05 09:36:00
2012-11-07,1906-05-15 12:00:00
2012-11-08,1906-05-06 00:00:00
2012-11-09,1906-05-15 12:00:00
2012-11-12,1906-05-18 08:24:00
2012-11-13,1906-04-20 19:12:00
2012-11-14,1906-03-15 16:48:00
2012-11-15,1906-03-08 02:24:00
2012-11-16,1906-02-22 18:43:12
2012-11-19,1906-04-03 10:04:48
2012-11-20,1906-03-24 00:57:36
2012-11-21,1906-03-23 02:24:00
2012-11-22,1906-03-23 02:24:00
2012-11-23,1906-05-06 11:02:24
2012-11-26,1906-04-29 20:38:24
2012-11-27,1906-05-04 13:55:12
2012-11-28,1906-05-22 12:14:24
2012-11-29,1906-06-05 16:04:48
2012-11-30,1906-06-14 04:04:48
2012-12-03,1906-06-15 21:07:12
2012-12-04,1906-06-20 18:43:12
2012-12-05,1906-06-23 14:38:24
2012-12-06,1906-07-03 23:45:36
2012-12-07,1906-07-24 18:14:24
2012-12-10,1906-08-14 16:48:00
2012-12-11,1906-08-29 21:36:00
2012-12-12,1906-09-06 12:00:00
2012-12-13,1906-08-25 03:36:00
2012-12-14,1906-08-28 00:00:00
