Date,mom_21
2008-04-30,-0.01315443304393582
2008-05-01,0.0171581769436997
2008-05-02,0.023944040893193463
2008-05-05,0.020177562550443895
2008-05-06,0.02716514254975788
2008-05-07,0.01393354769560573
2008-05-08,0.028332433890987607
2008-05-09,0.009911599249933234
2008-05-12,0.02184002184002165
2008-05-13,0.008163265306122325
2008-05-14,0.016879934658317497
2008-05-15,-0.009357941252924329
2008-05-16,0.002338269680436378
2008-05-19,0.0010360010360010996
2008-05-20,0.011265391668849878
2008-05-21,0.016183764030279324
2008-05-22,0.03424657534246567
2008-05-23,0.016255899318300848
2008-05-27,0.008506113769271684
2008-05-28,-0.026294820717131517
2008-05-29,-0.024331550802139
2008-05-30,-0.020527859237536528
2008-06-02,-0.07907221929362152
2008-06-03,-0.0848660010509722
2008-06-04,-0.08201476793248941
2008-06-05,-0.08143493061010731
2008-06-06,-0.10095137420718814
2008-06-09,-0.11099448963526626
2008-06-10,-0.10477453580901863
2008-06-11,-0.11835426128773707
2008-06-12,-0.10040485829959511
2008-06-13,-0.11111111111111105
2008-06-16,-0.13093676200472326
2008-06-17,-0.1578538102643856
2008-06-18,-0.18111254851228975
2008-06-19,-0.22020725388601037
2008-06-20,-0.20344207552016436
2008-06-23,-0.20733571064696887
2008-06-24,-0.19169246646026827
2008-06-25,-0.1520822351080653
2008-06-26,-0.14457174031642106
2008-06-27,-0.12989860235681017
2008-06-30,-0.12384322264561798
2008-07-01,-0.09959931310818537
2008-07-02,-0.10709158771174265
2008-07-03,-0.11893134156851481
2008-07-07,-0.1493728620296465
2008-07-08,-0.11140505584950033
2008-07-09,-0.14020070838252663
2008-07-10,-0.11229629629629623
2008-07-11,-0.10515151515151511
2008-07-14,-0.13351335133513353
2008-07-15,-0.13734939759036147
2008-07-16,-0.13828502415458932
2008-07-17,-0.11849799938442607
2008-07-18,-0.12543443917851493
2008-07-21,-0.05215946843853825
2008-07-22,-0.06772009029345372
2008-07-23,-0.06169665809768643
2008-07-24,-0.08841366102776893
2008-07-25,-0.11656823127137084
2008-07-28,-0.09630102040816324
2008-07-29,-0.09921259842519681
2008-07-30,-0.11929170549860191
2008-07-31,-0.12460267005721559
2008-08-01,-0.09774919614147914
2008-08-04,-0.08509944571242267
2008-08-05,-0.04390080428954424
2008-08-06,-0.051273569302017874
2008-08-07,0.010641949879849122
2008-08-08,-0.01468624833110821
2008-08-11,0.012868269556383316
2008-08-12,0.015235457063711877
2008-08-13,0.026187150837988726
2008-08-14,0.03784162578836736
2008-08-15,0.027932960893854775
2008-08-18,0.032153179190751446
2008-08-19,-0.016473887136347787
2008-08-20,-0.02282947077135944
2008-08-21,-0.03938356164383561
2008-08-22,-0.0028011204481792618
2008-08-25,-0.027797325826882546
2008-08-26,-0.03034580098800277
2008-08-27,-0.005944055944056004
2008-08-28,0.013756613756613634
2008-08-29,0.012345679012345734
2008-09-02,-0.05131860299358515
2008-09-03,-0.05630791161796145
2008-09-04,-0.06834910620399592
2008-09-05,-0.06903765690376573
2008-09-08,-0.0747282608695653
2008-09-09,-0.10128726287262868
2008-09-10,-0.11066532932129713
2008-09-11,-0.09856753069577084
2008-09-12,-0.08880571623001021
2008-09-15,-0.12255232950708994
2008-09-16,-0.10971467391304346
2008-09-17,-0.15820791039551974
2008-09-18,-0.08731290092658583
2008-09-19,-0.050973451327433694
2008-09-22,-0.09554367201426028
2008-09-23,-0.1179775280898876
2008-09-24,-0.07057546145494031
2008-09-25,-0.04002911208151383
2008-09-26,-0.08476960956735846
2008-09-29,-0.16840640222686154
2008-09-30,-0.09505021520803436
2008-10-01,-0.06686701728024047
2008-10-02,-0.09818731117824775
2008-10-03,-0.1057185854025583
2008-10-06,-0.17490636704119844
2008-10-07,-0.262848751835536
2008-10-08,-0.2642291745194121
2008-10-09,-0.2924812030075188
2008-10-10,-0.3318199016269391
2008-10-13,-0.23861090365944737
2008-10-14,-0.214313197383609
2008-10-15,-0.3117130866081649
2008-10-16,-0.18711018711018712
2008-10-17,-0.2569308863725107
2008-10-20,-0.2651995524058187
2008-10-21,-0.24950729207725664
2008-10-22,-0.29816878980891726
2008-10-23,-0.315809968847352
2008-10-24,-0.3699772554965882
2008-10-27,-0.43466564181398915
2008-10-28,-0.3263598326359831
2008-10-29,-0.3896155370590567
2008-10-30,-0.3462157809983898
2008-10-31,-0.3119765494137353
2008-11-03,-0.24694993689524614
2008-11-04,-0.15615070358601912
2008-11-05,-0.13147410358565725
2008-11-06,-0.09426229508196726
2008-11-07,-0.018065887353878818
2008-11-10,-0.016987542468856254
2008-11-11,-0.13928396272682686
2008-11-12,-0.18266405484818804
2008-11-13,-0.016629711751663057
2008-11-14,-0.11815856777493616
2008-11-17,-0.09090909090909094
2008-11-18,-0.15989847715736039
2008-11-19,-0.1922268907563024
2008-11-20,-0.1803743618831537
2008-11-21,-0.1155378486055777
2008-11-24,-0.07521058965102301
2008-11-25,0.05302515295717192
2008-11-26,-0.04409937888198767
2008-11-28,0.013636363636363669
2008-12-01,-0.13485221674876835
2008-12-02,-0.06877662811929397
2008-12-03,-0.14916201117318428
2008-12-04,-0.1925766541151157
2008-12-05,-0.1330275229357799
2008-12-08,-0.07522624434389136
2008-12-09,-0.11147186147186139
2008-12-10,-0.03974654377880171
2008-12-11,-0.05470085470085473
2008-12-12,0.025164769322947755
2008-12-15,-0.03382187147688831
2008-12-16,0.07482598607888646
2008-12-17,0.06184971098265901
2008-12-18,0.09848942598187316
2008-12-19,0.17360208062418714
2008-12-22,0.21245674740484422
2008-12-23,0.11454311454311461
