Date,mom_21
2008-04-28,0.07426778242677812
2008-04-29,0.07957559681697601
2008-04-30,0.07686335403726696
2008-05-01,0.06644260599793173
2008-05-02,0.06421543241843608
2008-05-05,0.07736093143596379
2008-05-06,0.09773260359655978
2008-05-07,0.061498708010335745
2008-05-08,0.06799379524301963
2008-05-09,0.045408163265306056
2008-05-12,0.07232947232947229
2008-05-13,0.055090124397055185
2008-05-14,0.052750000000000075
2008-05-15,0.038901045465596695
2008-05-16,0.04407514450867045
2008-05-19,0.02286258633007865
2008-05-20,0.010801728276524258
2008-05-21,0.028880866425992746
2008-05-22,0.021857923497267562
2008-05-23,0.0195891065456284
2008-05-27,0.045911047345767564
2008-05-28,0.06718597857838371
2008-05-29,0.0982800982800982
2008-05-30,0.08219178082191791
2008-06-02,0.06739393939393934
2008-06-03,0.06374695863746949
2008-06-04,0.04779058597502406
2008-06-05,0.03774928774928776
2008-06-06,0.0438169425511199
2008-06-09,0.034858387799564294
2008-06-10,0.027574426549536346
2008-06-11,0.005760921747479664
2008-06-12,0.006496631376323281
2008-06-13,0.003324625979577389
2008-06-16,0.013105546454481587
2008-06-17,0.010841983852364345
2008-06-18,0.01117578579743883
2008-06-19,0.037758252196627984
2008-06-20,0.010058479532163656
2008-06-23,0.008137642408742263
2008-06-24,0.0032802249297094743
2008-06-25,-0.01440329218107006
2008-06-26,-0.038321167883211826
2008-06-27,-0.0577181208053692
2008-06-30,-0.06240284254941153
2008-07-01,-0.021576198046786343
2008-07-02,-0.050091491308325686
2008-07-03,-0.05225762090304842
2008-07-07,-0.08030199039121477
2008-07-08,-0.04850746268656725
2008-07-09,-0.054502923976608164
2008-07-10,-0.0503443362621705
2008-07-11,-0.07923627684964196
2008-07-14,-0.07147979918718617
2008-07-15,-0.08355029585798823
2008-07-16,-0.10857010857010851
2008-07-17,-0.12049292560474667
2008-07-18,-0.10430577941515085
2008-07-21,-0.11784897025171637
2008-07-22,-0.09680407596109308
2008-07-23,-0.09040590405904059
2008-07-24,-0.10929472209248015
2008-07-25,-0.09603340292275575
2008-07-28,-0.08870967741935476
2008-07-29,-0.0800094966761633
2008-07-30,-0.08503079109426803
2008-07-31,-0.10909935004642513
2008-08-01,-0.06693956176258131
2008-08-04,-0.09746070133010887
2008-08-05,-0.0537313432835822
2008-08-06,-0.07328431372549005
2008-08-07,-0.0759524987629886
2008-08-08,-0.059764941235308844
2008-08-11,-0.027993779160186527
2008-08-12,-0.051235839340885714
2008-08-13,-0.054493801652892526
2008-08-14,-0.030577869914485745
2008-08-15,-0.007524649714582221
2008-08-18,-0.033676092544987046
2008-08-19,-0.02075226977950706
2008-08-20,-0.02897435897435907
2008-08-21,-0.03448275862068961
2008-08-22,0.002621919244887305
2008-08-25,-0.0272004105722351
2008-08-26,-0.022384174908901544
2008-08-27,-0.026838709677419303
2008-08-28,-0.03598239710069895
2008-08-29,-0.0403856175091194
2008-09-02,-0.061677419354838725
2008-09-03,-0.025723472668810365
2008-09-04,-0.05651945320715035
2008-09-05,-0.05924358635281679
2008-09-08,-0.034805890227577074
2008-09-09,-0.07207446808510642
2008-09-10,-0.06533333333333335
2008-09-11,-0.05535956580732693
2008-09-12,-0.05244468724392248
2008-09-15,-0.09730018711574429
2008-09-16,-0.12915032679738558
2008-09-17,-0.1689279063580741
2008-09-18,-0.14675496688741718
2008-09-19,-0.10641668867177168
2008-09-22,-0.1165966386554621
2008-09-23,-0.12473849372384949
2008-09-24,-0.10472170931152724
2008-09-25,-0.0804046858359958
2008-09-26,-0.09042694245558214
2008-09-29,-0.14151450053705705
2008-09-30,-0.09177301113222902
2008-10-01,-0.08415841584158423
2008-10-02,-0.1311881188118812
2008-10-03,-0.11758149902479798
2008-10-06,-0.18189485521506887
2008-10-07,-0.21608876560332857
2008-10-08,-0.19002579535683572
2008-10-09,-0.2467902995720399
2008-10-10,-0.2993392703246194
2008-10-13,-0.17411357739982702
2008-10-14,-0.13976902576251116
2008-10-15,-0.21585109576703698
2008-10-16,-0.11747759282970549
2008-10-17,-0.15709407016454524
2008-10-20,-0.15248226950354615
2008-10-21,-0.1786563614744352
2008-10-22,-0.23035554227666555
2008-10-23,-0.22097819681791386
2008-10-24,-0.259988419224088
2008-10-27,-0.2865889212827988
2008-10-28,-0.18579918673756646
2008-10-29,-0.22301943198804197
2008-10-30,-0.2063063063063062
2008-10-31,-0.13801836024058245
2008-11-03,-0.1480896747710767
2008-11-04,-0.04226804123711336
2008-11-05,-0.07784854918612893
2008-11-06,-0.09341825902335454
2008-11-07,0.002272727272727426
2008-11-10,0.09758097580975811
2008-11-11,-0.09668411867364746
2008-11-12,-0.1500860585197934
2008-11-13,-0.04134762633996947
2008-11-14,-0.10700036271309388
2008-11-17,-0.13443830570902393
2008-11-18,-0.18096234309623438
2008-11-19,-0.18783930510314872
2008-11-20,-0.15993788819875776
2008-11-21,-0.14409984871406967
2008-11-24,-0.10015649452269171
2008-11-25,-0.0359624029423784
2008-11-26,-0.0779869381482905
2008-11-28,-0.07849172758753364
2008-12-01,-0.14869466515323493
2008-12-02,-0.1472640470069777
2008-12-03,-0.13787991104521868
2008-12-04,-0.16792249730893427
2008-12-05,-0.10322333077513424
2008-12-08,-0.023809523809523836
2008-12-09,-0.07294028722600154
2008-12-10,-0.07620470676129998
2008-12-11,-0.05757341576506947
2008-12-12,-0.005670311867152722
2008-12-15,-0.04592651757188493
2008-12-16,0.023151909017059324
2008-12-17,0.09787234042553195
2008-12-18,0.07747977862920385
2008-12-19,0.12745098039215685
2008-12-22,0.0910351201478743
