Date,divy
2017-12-06,3.91
2017-12-07,3.88
2017-12-08,3.86
2017-12-11,3.86
2017-12-12,3.87
2017-12-13,3.89
2017-12-14,3.91
2017-12-15,3.91
2017-12-18,3.86
2017-12-19,3.88
2017-12-20,3.88
2017-12-21,3.85
2017-12-22,3.9
2017-12-25,3.9
2017-12-26,3.89
2017-12-27,3.9
2017-12-28,3.92
2017-12-29,3.93
2018-01-01,4.15
2018-01-02,4.13
2018-01-03,4.13
2018-01-04,4.03
2018-01-05,4.01
2018-01-08,4.02
2018-01-09,4.01
2018-01-10,3.98
2018-01-11,3.98
2018-01-12,3.94
2018-01-15,3.94
2018-01-16,3.92
2018-01-17,3.95
2018-01-18,3.96
2018-01-19,3.96
2018-01-22,3.91
2018-01-23,3.91
2018-01-24,3.93
2018-01-25,3.91
2018-01-26,3.93
2018-01-29,3.94
2018-01-30,3.99
2018-01-31,3.9699999999999998
2018-02-01,4.01
2018-02-02,4.09
2018-02-05,4.14
2018-02-06,4.26
2018-02-07,4.16
2018-02-08,4.26
2018-02-09,4.31
2018-02-12,4.25
2018-02-13,4.29
2018-02-14,4.28
2018-02-15,4.26
2018-02-16,4.21
2018-02-19,4.23
2018-02-20,4.2
2018-02-21,4.22
2018-02-22,4.19
2018-02-23,4.2
2018-02-26,4.17
2018-02-27,4.18
2018-02-28,4.22
2018-03-01,4.32
2018-03-02,4.41
2018-03-05,4.39
2018-03-06,4.39
2018-03-07,4.39
2018-03-08,4.36
2018-03-09,4.34
2018-03-12,4.33
2018-03-13,4.32
2018-03-14,4.36
2018-03-15,4.37
2018-03-16,4.33
2018-03-19,4.38
2018-03-20,4.39
2018-03-21,4.39
2018-03-22,4.46
2018-03-23,4.49
2018-03-26,4.5
2018-03-27,4.46
2018-03-28,4.42
2018-03-29,4.4
2018-03-30,4.4
2018-04-02,4.4
2018-04-03,4.43
2018-04-04,4.44
2018-04-05,4.35
2018-04-06,4.37
2018-04-09,4.33
2018-04-10,4.32
2018-04-11,4.32
2018-04-12,4.33
2018-04-13,4.32
2018-04-16,4.32
2018-04-17,4.31
2018-04-18,4.3
2018-04-19,4.28
2018-04-20,4.29
2018-04-23,4.26
2018-04-24,4.3
2018-04-25,4.31
2018-04-26,4.3
2018-04-27,4.28
2018-04-30,4.26
2018-05-01,4.28
2018-05-02,4.23
2018-05-03,4.25
2018-05-04,4.23
2018-05-07,4.2
2018-05-08,4.21
2018-05-09,4.16
2018-05-10,4.14
2018-05-11,4.12
2018-05-14,4.13
2018-05-15,4.18
2018-05-16,4.21
2018-05-17,4.16
2018-05-18,4.19
2018-05-21,4.21
2018-05-22,4.17
2018-05-23,4.22
2018-05-24,4.24
2018-05-25,4.34
2018-05-28,4.37
2018-05-29,4.48
2018-05-30,4.44
2018-05-31,4.48
2018-06-01,4.45
2018-06-04,4.4
2018-06-05,4.46
2018-06-06,4.38
2018-06-07,4.36
2018-06-08,4.42
2018-06-11,4.34
2018-06-12,4.34
2018-06-13,4.37
2018-06-14,4.34
2018-06-15,4.39
2018-06-18,4.42
2018-06-19,4.43
2018-06-20,4.41
2018-06-21,4.45
2018-06-22,4.41
2018-06-25,4.5
2018-06-26,4.49
2018-06-27,4.48
2018-06-28,4.52
2018-06-29,4.51
2018-07-02,4.55
2018-07-03,4.5
2018-07-04,4.47
2018-07-05,4.4
2018-07-06,4.37
2018-07-09,4.38
2018-07-10,4.43
2018-07-11,4.48
2018-07-12,4.47
2018-07-13,4.49
2018-07-16,4.49
2018-07-17,4.49
2018-07-18,4.49
2018-07-19,4.51
2018-07-20,4.5
2018-07-23,4.49
2018-07-24,4.46
2018-07-25,4.51
2018-07-26,4.49
2018-07-27,4.45
2018-07-30,4.43
2018-07-31,4.42
2018-08-01,4.46
2018-08-02,4.51
2018-08-03,4.49
2018-08-06,4.5
2018-08-07,4.46
2018-08-08,4.47
2018-08-09,4.48
2018-08-10,4.59
2018-08-13,4.63
2018-08-14,4.64
2018-08-15,4.6899999999999995
2018-08-16,4.63
2018-08-17,4.64
2018-08-20,4.63
2018-08-21,4.55
2018-08-22,4.52
2018-08-23,4.54
2018-08-24,4.58
2018-08-27,4.5600000000000005
2018-08-28,4.57
2018-08-29,4.57
2018-08-30,4.64
2018-08-31,4.65
2018-09-03,4.72
2018-09-04,4.73
2018-09-05,4.74
2018-09-06,4.78
2018-09-07,4.8100000000000005
2018-09-10,4.76
2018-09-11,4.76
2018-09-12,4.75
2018-09-13,4.74
2018-09-14,4.71
2018-09-17,4.7
2018-09-18,4.67
2018-09-19,4.66
2018-09-20,4.6
2018-09-21,4.59
2018-09-24,4.63
2018-09-25,4.65
2018-09-26,4.64
2018-09-27,4.65
2018-09-28,4.74
2018-10-01,4.74
2018-10-02,4.79
2018-10-03,4.72
2018-10-04,4.74
2018-10-05,4.77
2018-10-08,4.79
2018-10-09,4.76
2018-10-10,4.8
2018-10-11,4.88
2018-10-12,4.9399999999999995
2018-10-15,4.91
2018-10-16,4.83
2018-10-17,4.87
2018-10-18,4.93
2018-10-19,4.93
2018-10-22,4.98
2018-10-23,5.03
2018-10-24,5.05
2018-10-25,4.99
2018-10-26,5.01
2018-10-29,4.9399999999999995
2018-10-30,4.95
2018-10-31,4.91
2018-11-01,4.87
2018-11-02,4.84
2018-11-05,4.83
2018-11-06,4.83
2018-11-07,4.7
2018-11-08,4.7
2018-11-09,4.73
2018-11-12,4.78
2018-11-13,4.71
2018-11-14,4.72
2018-11-15,4.74
2018-11-16,4.75
2018-11-19,4.76
2018-11-20,4.84
2018-11-21,4.8
2018-11-22,4.84
2018-11-23,4.85
2018-11-26,4.75
2018-11-27,4.74
2018-11-28,4.76
2018-11-29,4.73
2018-11-30,4.74
2018-12-03,4.67
2018-12-04,4.72
2018-12-05,4.76
2018-12-06,4.89
2018-12-07,4.86
2018-12-10,4.95
2018-12-11,4.92
2018-12-12,4.82
2018-12-13,4.78
2018-12-14,4.8
2018-12-17,4.82
2018-12-18,4.88
2018-12-19,4.83
2018-12-20,4.95
2018-12-21,4.97
2018-12-24,5
2018-12-25,5.03
2018-12-26,5.03
2018-12-27,5.11
2018-12-28,5.02
2018-12-31,4.99
2019-01-01,5.33
2019-01-02,5.35
2019-01-03,5.33
2019-01-04,5.2
2019-01-07,5.16
2019-01-08,5.13
2019-01-09,5.13
2019-01-10,5.09
2019-01-11,5.09
2019-01-14,5.13
2019-01-15,5.1
2019-01-16,5.07
2019-01-17,5.07
2019-01-18,4.98
2019-01-21,4.99
2019-01-22,5
2019-01-23,4.97
2019-01-24,4.9399999999999995
2019-01-25,4.92
2019-01-28,4.99
2019-01-29,4.96
2019-01-30,4.98
2019-01-31,4.98
2019-02-01,5.04
2019-02-04,5.06
