Date,mom_252
2009-03-27,-0.49331103678929766
2009-03-30,-0.49756934515298823
2009-03-31,-0.5107227958697379
2009-04-01,-0.4850393700787401
2009-04-02,-0.45915643352909763
2009-04-03,-0.4679186228482004
2009-04-06,-0.4771041187004349
2009-04-07,-0.49425287356321834
2009-04-08,-0.4625954198473282
2009-04-09,-0.4316250321916044
2009-04-13,-0.41886195995785036
2009-04-14,-0.44535159336318153
2009-04-15,-0.43008474576271183
2009-04-16,-0.40989213364903976
2009-04-17,-0.413968423869414
2009-04-20,-0.4766812677145066
2009-04-21,-0.4511008704557091
2009-04-22,-0.4545220966084276
2009-04-23,-0.4535714285714285
2009-04-24,-0.44705882352941184
2009-04-27,-0.4577954319761669
2009-04-28,-0.46377171215880886
2009-04-29,-0.4070121951219512
2009-04-30,-0.4214711729622267
2009-05-01,-0.4084016902808848
2009-05-04,-0.38515815085158156
2009-05-05,-0.3776479181884588
2009-05-06,-0.35883777239709436
2009-05-07,-0.3897928994082841
2009-05-08,-0.3681704260651628
2009-05-11,-0.3814589665653495
2009-05-12,-0.36220668996505245
2009-05-13,-0.3842903305990554
2009-05-14,-0.37863121614968
2009-05-15,-0.3892229973538609
2009-05-18,-0.34714147286821706
2009-05-19,-0.35169593456819825
2009-05-20,-0.3226128147594116
2009-05-21,-0.2949416342412451
2009-05-22,-0.29506933744221875
2009-05-26,-0.2745459331403002
2009-05-27,-0.30963420917053064
2009-05-28,-0.2946336429308565
2009-05-29,-0.2775626129615285
2009-06-01,-0.2618624714539456
2009-06-02,-0.27275057677518577
2009-06-03,-0.30249293240812125
2009-06-04,-0.2829842931937173
2009-06-05,-0.296751087234587
2009-06-08,-0.2888829502939605
2009-06-09,-0.30333245867226444
2009-06-10,-0.2753938077131993
2009-06-11,-0.22689075630252098
2009-06-12,-0.22342192691029894
2009-06-15,-0.2557502738225631
2009-06-16,-0.2706521739130434
2009-06-17,-0.27331017900080146
2009-06-18,-0.23783929051330288
2009-06-19,-0.24614968927316938
2009-06-22,-0.251098901098901
2009-06-23,-0.24779005524861886
2009-06-24,-0.22617393720477907
2009-06-25,-0.21035510978584981
2009-06-26,-0.16870554765291612
2009-06-29,-0.1499133448873483
2009-06-30,-0.14327485380116967
2009-07-01,-0.07080200501253142
2009-07-02,-0.06379585326953752
2009-07-06,-0.09394313967861556
2009-07-07,-0.12732174955062925
2009-07-08,-0.14099911321312442
