Date,mom_252
2015-05-01,-0.02758620689655189
2015-05-04,-0.017742730409068486
2015-05-05,-0.046701974000962876
2015-05-06,-0.036027263875365034
2015-05-07,-0.029640427599611274
2015-05-08,-0.03141614306428231
2015-05-11,-0.03875968992248069
2015-05-12,-0.04258373205741617
2015-05-13,-0.04921165790731019
2015-05-14,-0.04538939321548019
2015-05-15,-0.03262955854126681
2015-05-18,-0.034598750600672745
2015-05-19,-0.025427872860635636
2015-05-20,-0.00998502246630073
2015-05-21,-0.011904761904761862
2015-05-22,-0.03202328966521106
2015-05-26,-0.03692905733722052
2015-05-27,-0.08848314606741581
2015-05-28,-0.09467734338200662
2015-05-29,-0.0890221402214022
2015-06-01,-0.10901749663526239
2015-06-02,-0.10344827586206895
2015-06-03,-0.08505639097744366
2015-06-04,-0.09460737937559127
2015-06-05,-0.12161541991739322
2015-06-08,-0.12757201646090544
2015-06-09,-0.09797456429580786
2015-06-10,-0.08345323741007205
2015-06-11,-0.07163742690058472
2015-06-12,-0.07647345348270829
2015-06-15,-0.10061699098243948
2015-06-16,-0.0526579739217653
2015-06-17,-0.028469750889679846
2015-06-18,-0.03763171098845963
2015-06-19,-0.029126213592232997
2015-06-22,-0.021949974476773826
2015-06-23,-0.006188757091284192
2015-06-24,-0.0020639834881320818
2015-06-25,0.013068478829064256
2015-06-26,0.03858520900321527
2015-06-29,0.02082221035771492
2015-06-30,0.07748049052396855
2015-07-01,0.0005296610169491789
2015-07-02,0.004663212435233044
2015-07-06,-0.005170630816959787
2015-07-07,-0.011910926980838954
2015-07-08,-0.032454361054766734
2015-07-09,-0.06135576447303326
2015-07-10,-0.07654563297350336
2015-07-13,-0.0625916870415647
2015-07-14,-0.06407766990291264
2015-07-15,-0.0877443967572723
2015-07-16,-0.10553715097018457
2015-07-17,-0.09426811937470381
2015-07-20,-0.11231203007518797
2015-07-21,-0.09361497839654342
2015-07-22,-0.11352885525070966
2015-07-23,-0.09890632429862112
2015-07-24,-0.07982583454281578
2015-07-27,-0.06793743890518089
2015-07-28,-0.08765133171912831
2015-07-29,-0.09588377723970931
2015-07-30,-0.08619000979431934
2015-07-31,-0.08522167487684729
2015-08-03,-0.08386778490379865
2015-08-04,-0.08870576829859422
2015-08-05,-0.09377990430621996
2015-08-06,-0.08986064392119164
2015-08-07,-0.08021390374331538
2015-08-10,-0.08466376390904695
2015-08-11,-0.11585944919278246
2015-08-12,-0.11185149928605431
2015-08-13,-0.12909174734900875
2015-08-14,-0.12909174734900875
2015-08-17,-0.1313598519888991
2015-08-18,-0.13778801843317967
2015-08-19,-0.1333950903195924
2015-08-20,-0.1818598259276225
2015-08-21,-0.19612367328103364
2015-08-24,-0.19723502304147456
2015-08-25,-0.22590909090909084
2015-08-26,-0.22029250457038396
2015-08-27,-0.15140358950759314
2015-08-28,-0.14392873886544755
2015-08-31,-0.1085086042065011
2015-09-01,-0.13099193165638356
2015-09-02,-0.1447921531994396
2015-09-03,-0.1583372255955161
2015-09-04,-0.17554423344140802
2015-09-08,-0.15064695009242146
2015-09-09,-0.15455381784728606
2015-09-10,-0.15455381784728606
2015-09-11,-0.12321181356714361
2015-09-14,-0.14391829155060343
2015-09-15,-0.16507067943456455
2015-09-16,-0.1608615948670945
2015-09-17,-0.17884702678166142
2015-09-18,-0.1836642599277979
2015-09-21,-0.17776777677767774
2015-09-22,-0.1728395061728395
2015-09-23,-0.16404077849860976
2015-09-24,-0.16712834718374892
2015-09-25,-0.15979381443298968
2015-09-28,-0.17565055762081794
2015-09-29,-0.1774569166278528
2015-09-30,-0.16566125290023204
2015-10-01,-0.15823970037453183
2015-10-02,-0.15141811527904847
2015-10-05,-0.15885298133818837
2015-10-06,-0.14760147601476015
2015-10-07,-0.15190454336851766
2015-10-08,-0.15056689342403629
2015-10-09,-0.14567109482363716
2015-10-12,-0.14723365340649297
2015-10-13,-0.10019083969465659
2015-10-14,-0.10446343779677114
2015-10-15,-0.1103548857559552
2015-10-16,-0.10073710073710074
2015-10-19,-0.08529411764705874
2015-10-20,-0.07632093933463802
2015-10-21,-0.10299806576402315
2015-10-22,-0.11620057859209254
2015-10-23,-0.10846812559467178
2015-10-26,-0.1316037735849056
2015-10-27,-0.12423240434577243
2015-10-28,-0.12767940354147256
2015-10-29,-0.13953488372093026
2015-10-30,-0.1265344664778092
2015-11-02,-0.12900188323917128
2015-11-03,-0.1417137476459509
2015-11-04,-0.15601851851851856
2015-11-05,-0.14807783578547706
2015-11-06,-0.15373699148533582
2015-11-09,-0.18309859154929586
2015-11-10,-0.1940713293191293
2015-11-11,-0.19499768411301532
2015-11-12,-0.21775312066574193
2015-11-13,-0.20488721804511278
2015-11-16,-0.2086061739943872
2015-11-17,-0.2104526364909005
2015-11-18,-0.22088724584103514
2015-11-19,-0.22124711316397228
2015-11-20,-0.22696011004126548
2015-11-23,-0.22858451672010993
2015-11-24,-0.22595704948646145
2015-11-25,-0.23890942698706108
2015-11-27,-0.22201228153046781
2015-11-30,-0.24137931034482774
2015-12-01,-0.19198416625432968
2015-12-02,-0.17611640742599088
2015-12-03,-0.1736285858077503
2015-12-04,-0.16884422110552766
2015-12-07,-0.19009504752376172
2015-12-08,-0.17900608519269767
2015-12-09,-0.1710189452124936
2015-12-10,-0.18720748829953193
2015-12-11,-0.16950053134962806
2015-12-14,-0.1463681048607317
2015-12-15,-0.11744776962168268
2015-12-16,-0.11903425042111171
2015-12-17,-0.13691796008869173
2015-12-18,-0.15354767184035478
2015-12-21,-0.19758276405675257
2015-12-22,-0.181025641025641
