Date,mom_252
2012-03-02,-0.21865994236311237
2012-03-05,-0.21937116010119262
2012-03-06,-0.27217015140591194
2012-03-07,-0.25745062836624777
2012-03-08,-0.23707986989519336
2012-03-09,-0.21378288254909228
2012-03-12,-0.24047354790972997
2012-03-13,-0.23424095486758667
2012-03-14,-0.22399392558845854
2012-03-15,-0.20124079100426517
2012-03-16,-0.2161339421613394
2012-03-19,-0.2064516129032259
2012-03-20,-0.22993248312078018
2012-03-21,-0.23143285821455373
2012-03-22,-0.2374531835205993
2012-03-23,-0.2446256486286138
2012-03-26,-0.24034175334323926
2012-03-27,-0.2518545994065281
2012-03-28,-0.2692166237587348
2012-03-29,-0.27719170607493626
2012-03-30,-0.2682926829268292
2012-04-02,-0.29313411597296335
2012-04-03,-0.30923130923130915
2012-04-04,-0.3432939541348159
2012-04-05,-0.34042553191489366
2012-04-09,-0.33756166314305847
2012-04-10,-0.35537765402018795
2012-04-11,-0.340981291916696
2012-04-12,-0.32353994983876755
2012-04-13,-0.32785714285714285
2012-04-16,-0.34275362318840585
2012-04-17,-0.3452509931383172
2012-04-18,-0.35833025489471737
2012-04-19,-0.36522371771553286
2012-04-20,-0.35897435897435903
2012-04-23,-0.3819294456443484
2012-04-24,-0.3786897048236141
2012-04-25,-0.36767382599199117
2012-04-26,-0.3515596330275229
2012-04-27,-0.35737704918032787
2012-04-30,-0.3623085144282152
2012-05-01,-0.3586330935251799
2012-05-02,-0.3611820503465888
2012-05-03,-0.3672713809700111
2012-05-04,-0.37958115183246066
2012-05-07,-0.38335809806835064
2012-05-08,-0.39268562984854083
2012-05-09,-0.40628385698808234
2012-05-10,-0.4031375410434148
2012-05-11,-0.40103588605253415
2012-05-14,-0.4058453570107289
2012-05-15,-0.4309639002605137
2012-05-16,-0.43971631205673756
2012-05-17,-0.4546122748989342
2012-05-18,-0.46020633750921147
2012-05-21,-0.4431314623338256
2012-05-22,-0.42986084994358775
2012-05-23,-0.4313651748777736
2012-05-24,-0.4366566716641679
2012-05-25,-0.43178410794602695
2012-05-29,-0.4284107946026986
2012-05-30,-0.45478131949592293
2012-05-31,-0.4501510574018127
2012-06-01,-0.45310734463276836
2012-06-04,-0.4626415094339622
2012-06-05,-0.45503252965939534
2012-06-06,-0.428843952689813
2012-06-07,-0.4238076773943389
2012-06-08,-0.433040824112934
2012-06-11,-0.43324355521354363
2012-06-12,-0.44358278402481577
2012-06-13,-0.4463878326996198
2012-06-14,-0.451252408477842
2012-06-15,-0.4413495488426834
2012-06-18,-0.44209311273566754
2012-06-19,-0.4222560975609756
2012-06-20,-0.43815592203898046
2012-06-21,-0.45399698340874806
2012-06-22,-0.43842364532019706
2012-06-25,-0.45547555892383484
2012-06-26,-0.45691609977324266
2012-06-27,-0.44577412116679127
2012-06-28,-0.4612819562801037
2012-06-29,-0.46642201834862385
2012-07-02,-0.47165697674418605
2012-07-03,-0.4289844597036502
2012-07-05,-0.4377466810190169
2012-07-06,-0.4447200566973777
2012-07-09,-0.4324520101412531
2012-07-10,-0.42368517837440234
2012-07-11,-0.4519940915805022
2012-07-12,-0.4605263157894737
2012-07-13,-0.45906432748538006
2012-07-16,-0.45347119645494827
2012-07-17,-0.4484304932735427
2012-07-18,-0.44832713754646836
2012-07-19,-0.44210136884942663
2012-07-20,-0.46046852122986826
2012-07-23,-0.46923917000364035
2012-07-24,-0.46351301796846345
2012-07-25,-0.46819338422391854
2012-07-26,-0.4502945508100148
2012-07-27,-0.43556701030927836
2012-07-30,-0.42737959802806225
2012-07-31,-0.42541856925418575
2012-08-01,-0.4391534391534392
2012-08-02,-0.4325047801147227
2012-08-03,-0.36891233766233766
2012-08-06,-0.3432959734329597
2012-08-07,-0.25034199726402184
2012-08-08,-0.26595269968763946
2012-08-09,-0.29567099567099575
2012-08-10,-0.3094227504244482
2012-08-13,-0.30706984667802384
2012-08-14,-0.31465880370682386
2012-08-15,-0.3197135636057288
2012-08-16,-0.31749369217830115
2012-08-17,-0.2857775808595481
2012-08-20,-0.27333931777378817
2012-08-21,-0.2707034728406056
2012-08-22,-0.29240282685512375
2012-08-23,-0.2767379679144385
2012-08-24,-0.28533333333333344
2012-08-27,-0.2911673324456281
2012-08-28,-0.30655666521927916
2012-08-29,-0.309792027729636
2012-08-30,-0.3173704832390074
2012-08-31,-0.31588132635253063
2012-09-04,-0.30166374781085814
2012-09-05,-0.27334851936218685
2012-09-06,-0.2845673505798395
2012-09-07,-0.28007181328545794
2012-09-10,-0.24743709226467858
2012-09-11,-0.22764227642276436
2012-09-12,-0.22424532822232868
2012-09-13,-0.2128266033254157
2012-09-14,-0.19007490636704116
2012-09-17,-0.19457436856875587
2012-09-18,-0.20205799812909264
2012-09-19,-0.20675105485232048
2012-09-20,-0.21472105016408805
2012-09-21,-0.07853684776761705
2012-09-24,-0.07391304347826089
2012-09-25,-0.09333333333333338
2012-09-26,-0.14477073673364238
2012-09-27,-0.09679144385026728
2012-09-28,-0.07502738225629801
2012-10-01,-0.06232763375620509
2012-10-02,-0.01681159420289846
2012-10-03,-0.010582010582010803
2012-10-04,-0.0633608815426997
2012-10-05,-0.051790633608815306
2012-10-08,-0.051790633608815306
2012-10-09,-0.07878787878787874
2012-10-10,-0.09862258953168035
2012-10-11,-0.16254416961130735
2012-10-12,-0.16254416961130735
2012-10-15,-0.18929633300297322
2012-10-16,-0.15829145728643212
2012-10-17,-0.14944275582573452
2012-10-18,-0.1348430262480701
2012-10-19,-0.12821860220704162
2012-10-22,-0.17248356095093575
2012-10-23,-0.20676139147476724
