Date,mom_252
1997-03-17,0.1354581673306774
1997-03-18,0.1254980079681276
1997-03-19,0.11752988047808777
1997-03-20,0.09960159362549792
1997-03-21,0.1254980079681276
1997-03-24,0.11354581673306785
1997-03-25,0.11354581673306785
1997-03-26,0.13737373737373737
1997-03-27,0.1595959595959595
1997-03-31,0.14800000000000013
1997-04-01,0.14000000000000012
1997-04-02,0.14000000000000012
1997-04-03,0.11199999999999988
1997-04-04,0.1080000000000001
1997-04-07,0.11199999999999988
1997-04-08,0.1080000000000001
1997-04-09,0.12200000000000011
1997-04-10,0.1259999999999999
1997-04-11,0.1259999999999999
1997-04-14,0.10399999999999987
1997-04-15,0.07184466019417468
1997-04-16,0.07961165048543672
1997-04-17,0.10039370078740162
1997-04-18,0.10291262135922308
1997-04-21,0.11844660194174739
1997-04-22,0.12941176470588234
1997-04-23,0.12941176470588234
1997-04-24,0.135294117647059
1997-04-25,0.135294117647059
1997-04-28,0.13921568627450975
1997-04-29,0.12941176470588234
1997-04-30,0.12941176470588234
1997-05-01,0.13921568627450975
1997-05-02,0.14313725490196094
1997-05-05,0.16141732283464583
1997-05-06,0.16205533596837962
1997-05-07,0.15217391304347827
1997-05-08,0.14822134387351782
1997-05-09,0.15686274509803932
1997-05-12,0.18446601941747565
1997-05-13,0.18446601941747565
1997-05-14,0.17475728155339798
1997-05-15,0.17475728155339798
1997-05-16,0.1793372319688109
1997-05-19,0.16179337231968804
1997-05-20,0.16184971098265888
1997-05-21,0.16184971098265888
1997-05-22,0.1612284069097889
1997-05-23,0.18304431599229276
1997-05-27,0.18689788053949896
1997-05-28,0.17533718689788036
1997-05-29,0.18304431599229276
1997-05-30,0.15799614643545268
1997-06-02,0.15799614643545268
1997-06-03,0.1574952561669829
1997-06-04,0.14421252371916515
1997-06-05,0.16129032258064524
1997-06-06,0.1612284069097889
1997-06-09,0.20537428023032644
1997-06-10,0.18867924528301883
1997-06-11,0.19120458891013392
1997-06-12,0.20076481835564053
1997-06-13,0.18490566037735867
1997-06-16,0.18490566037735867
1997-06-17,0.15858208955223874
1997-06-18,0.14179104477611926
1997-06-19,0.20076481835564053
1997-06-20,0.19502868068833634
1997-06-23,0.1835564053537284
1997-06-24,0.19502868068833634
1997-06-25,0.19924098671726775
1997-06-26,0.18595825426944979
1997-06-27,0.17836812144212533
1997-06-30,0.18216318785578767
1997-07-01,0.19924098671726775
1997-07-02,0.19924098671726775
1997-07-03,0.2239089184060723
1997-07-07,0.24098671726755239
1997-07-08,0.2125237191650855
1997-07-09,0.21142857142857152
1997-07-10,0.21223709369024846
1997-07-11,0.21001926782273594
1997-07-14,0.18689788053949896
1997-07-15,0.18304431599229276
1997-07-16,0.21001926782273594
1997-07-17,0.18285714285714283
1997-07-18,0.18666666666666676
1997-07-21,0.19619047619047625
1997-07-22,0.19619047619047625
1997-07-23,0.2076190476190476
1997-07-24,0.18285714285714283
1997-07-25,0.17904761904761912
1997-07-28,0.21142857142857152
1997-07-29,0.21714285714285708
1997-07-30,0.20380952380952388
1997-07-31,0.21714285714285708
1997-08-01,0.18666666666666676
1997-08-04,0.0947176684881601
1997-08-05,0.07832422586520948
1997-08-06,0.07468123861566478
1997-08-07,0.07468123861566478
1997-08-08,0.09107468123861562
1997-08-11,0.07103825136612008
1997-08-12,0.09225092250922518
1997-08-13,0.10820895522388052
1997-08-14,0.10820895522388052
1997-08-15,0.10820895522388052
1997-08-18,0.08768656716417911
1997-08-19,0.09594095940959413
1997-08-20,0.0793357933579335
1997-08-21,0.10408921933085513
1997-08-22,0.07992565055762069
1997-08-25,0.05263157894736836
1997-08-26,0.06788990825688068
1997-08-27,0.09141791044776104
1997-08-28,0.0727611940298507
1997-08-29,0.06902985074626877
1997-09-02,0.12713472485768507
1997-09-03,0.14421252371916515
1997-09-04,0.14421252371916515
1997-09-05,0.1631878557874764
1997-09-08,0.11970534069981587
1997-09-09,0.11296296296296293
1997-09-10,0.10925925925925917
1997-09-11,0.08703703703703702
1997-09-12,0.08703703703703702
1997-09-15,0.10000000000000009
1997-09-16,0.11296296296296293
1997-09-17,0.1166666666666667
1997-09-18,0.11296296296296293
1997-09-19,0.1166666666666667
1997-09-22,0.1493383742911154
1997-09-23,0.1493383742911154
1997-09-24,0.14232209737827706
1997-09-25,0.151685393258427
1997-09-26,0.14794007490636707
1997-09-29,0.13382899628252787
1997-09-30,0.1598513011152416
1997-10-01,0.16542750929368033
1997-10-02,0.13711151736745886
1997-10-03,0.15412844036697249
1997-10-06,0.15412844036697249
1997-10-07,0.19144981412639406
1997-10-08,0.16542750929368033
1997-10-09,0.16542750929368033
1997-10-10,0.14794007490636707
1997-10-13,0.16104868913857695
1997-10-14,0.15543071161048694
1997-10-15,0.16104868913857695
1997-10-16,0.15671641791044766
1997-10-17,0.14180478821362819
1997-10-20,0.13761467889908263
1997-10-21,0.10786106032906773
1997-10-22,0.10786106032906773
1997-10-23,0.06032906764168189
1997-10-24,0.05667276051188308
1997-10-27,0.031078610603290757
1997-10-28,0.0862385321100918
1997-10-29,0.09023941068139973
1997-10-30,0.0847145488029466
1997-10-31,0.13432835820895517
1997-11-03,0.13432835820895517
1997-11-04,0.11517367458866534
1997-11-05,0.1407678244972579
1997-11-06,0.08844765342960303
1997-11-07,0.05956678700361007
1997-11-10,0.06834532374100744
1997-11-11,0.07194244604316546
1997-11-12,0.059352517985611586
1997-11-13,0.06428571428571428
1997-11-14,0.08928571428571419
1997-11-17,0.10251798561151082
1997-11-18,0.10971223021582732
1997-11-19,0.09464285714285725
