Date,short_int_ratio
2011-08-12,0.02213402752293578
2011-08-15,0.04195790740740741
2011-08-16,0.04215306046511628
2011-08-17,0.04238965388213283
2011-08-18,0.04274956603773585
2011-08-19,0.0431156422454805
2011-08-22,0.043363196172248805
2011-08-23,0.043363196172248805
2011-08-24,0.043529817483189244
2011-08-25,0.043529817483189244
2011-08-26,0.04369772420443587
2011-08-29,0.04369772420443587
2011-08-30,0.04369772420443587
2011-08-31,0.036321012536162
2011-09-01,0.036321012536162
2011-09-02,0.03649698643410853
2011-09-05,0.03649698643410853
2011-09-06,0.03649698643410853
2011-09-07,0.036356071428571425
2011-09-08,0.036567854368932035
2011-09-09,0.036286021194605014
2011-09-12,0.036286021194605014
2011-09-13,0.036286021194605014
2011-09-14,0.036286021194605014
2011-09-15,0.043947649325626205
2011-09-16,0.043947649325626205
2011-09-19,0.043947649325626205
2011-09-20,0.04441836416747809
2011-09-21,0.04441836416747809
2011-09-22,0.04463567514677103
2011-09-23,0.04489927165354331
2011-09-26,0.045166
2011-09-27,0.045166
2011-09-28,0.045166
2011-09-29,0.045617660000000004
2011-09-30,0.0376252
2011-10-03,0.0376252
2011-10-04,0.0376252
2011-10-05,0.03785231388329979
2011-10-06,0.038082186234817815
2011-10-07,0.038082186234817815
2011-10-10,0.038082186234817815
2011-10-11,0.038082186234817815
2011-10-12,0.038082186234817815
2011-10-13,0.038082186234817815
2011-10-14,0.04241776315789474
2011-10-17,0.04259019308943089
2011-10-18,0.04259019308943089
2011-10-19,0.04259019308943089
2011-10-20,0.04259019308943089
2011-10-21,0.04259019308943089
2011-10-24,0.04259019308943089
2011-10-25,0.0428953428863869
2011-10-26,0.0428953428863869
2011-10-27,0.0428953428863869
2011-10-28,0.0428953428863869
2011-10-31,0.03090511770726714
2011-11-01,0.03090511770726714
2011-11-02,0.03090511770726714
2011-11-03,0.03090511770726714
2011-11-04,0.03090511770726714
2011-11-07,0.03090511770726714
2011-11-08,0.03090511770726714
2011-11-09,0.03090511770726714
2011-11-10,0.03090511770726714
2011-11-11,0.03090511770726714
2011-11-14,0.03090511770726714
2011-11-15,0.04806457523029682
2011-11-16,0.04806457523029682
2011-11-17,0.04806457523029682
2011-11-18,0.048212618069815194
2011-11-21,0.048361575695159635
2011-11-22,0.048361575695159635
2011-11-23,0.048662269430051815
2011-11-24,0.048662269430051815
2011-11-25,0.048662269430051815
2011-11-28,0.048662269430051815
2011-11-29,0.048662269430051815
2011-11-30,0.046665864583333334
2011-12-01,0.046665864583333334
2011-12-02,0.046665864583333334
2011-12-05,0.046665864583333334
2011-12-06,0.046665864583333334
2011-12-07,0.046665864583333334
2011-12-08,0.046665864583333334
2011-12-09,0.046665864583333334
2011-12-12,0.046665864583333334
2011-12-13,0.046861119246861926
2011-12-14,0.047107497371188224
2011-12-15,0.05330710359408034
2011-12-16,0.05376174840085288
2011-12-19,0.05376174840085288
2011-12-20,0.054049860664523046
2011-12-21,0.054049860664523046
2011-12-22,0.054049860664523046
2011-12-23,0.054049860664523046
2011-12-26,0.054049860664523046
2011-12-27,0.054049860664523046
2011-12-28,0.054049860664523046
2011-12-29,0.054049860664523046
2011-12-30,0.04070577706323687
2012-01-02,0.04070577706323687
2012-01-03,0.04070577706323687
2012-01-04,0.04070577706323687
2012-01-05,0.04070577706323687
2012-01-06,0.04070577706323687
2012-01-09,0.04070577706323687
2012-01-10,0.04070577706323687
2012-01-11,0.04070577706323687
2012-01-12,0.04070577706323687
2012-01-13,0.06088193756727664
2012-01-16,0.06088193756727664
2012-01-17,0.06088193756727664
2012-01-18,0.06088193756727664
2012-01-19,0.06088193756727664
2012-01-20,0.06088193756727664
2012-01-23,0.06088193756727664
2012-01-24,0.06088193756727664
2012-01-25,0.06088193756727664
2012-01-26,0.06088193756727664
2012-01-27,0.06088193756727664
2012-01-30,0.06088193756727664
2012-01-31,0.03196813778256189
2012-02-01,0.03196813778256189
2012-02-02,0.03214112554112554
2012-02-03,0.03214112554112554
2012-02-06,0.03214112554112554
2012-02-07,0.03214112554112554
2012-02-08,0.03231599564744287
2012-02-09,0.03231599564744287
2012-02-10,0.03231599564744287
2012-02-13,0.03231599564744287
2012-02-14,0.03231599564744287
2012-02-15,0.023456789989118605
2012-02-16,0.023405852334419112
2012-02-17,0.02330463783783784
2012-02-20,0.02330463783783784
2012-02-21,0.02330463783783784
2012-02-22,0.023204294940796552
2012-02-23,0.023204294940796552
2012-02-24,0.02310481243301179
2012-02-27,0.02310481243301179
2012-02-28,0.02310481243301179
2012-02-29,0.0314221855010661
2012-03-01,0.0314221855010661
2012-03-02,0.0314221855010661
2012-03-05,0.0314221855010661
2012-03-06,0.03138872204472844
2012-03-07,0.03138872204472844
2012-03-08,0.03138872204472844
2012-03-09,0.03138872204472844
2012-03-12,0.03138872204472844
2012-03-13,0.03138872204472844
2012-03-14,0.03138872204472844
2012-03-15,0.025424664536741214
2012-03-16,0.025478932764140875
2012-03-19,0.025478932764140875
2012-03-20,0.025478932764140875
2012-03-21,0.025478932764140875
2012-03-22,0.025478932764140875
2012-03-23,0.025478932764140875
2012-03-26,0.025615622317596565
2012-03-27,0.025615622317596565
2012-03-28,0.025615622317596565
2012-03-29,0.025615622317596565
2012-03-30,0.027573175965665237
2012-04-02,0.027573175965665237
2012-04-03,0.027573175965665237
2012-04-04,0.027573175965665237
2012-04-05,0.027721898597626752
2012-04-06,0.027721898597626752
2012-04-09,0.027721898597626752
2012-04-10,0.027721898597626752
2012-04-11,0.02787223427331887
2012-04-12,0.028024209378407848
