Date,short_int_ratio
2011-08-12,0.0046443681211458905
2011-08-15,0.02751256634405245
2011-08-16,0.02751256634405245
2011-08-17,0.027350325884543763
2011-08-18,0.027350325884543763
2011-08-19,0.02708760470298932
2011-08-22,0.02928152517029407
2011-08-23,0.029388944472236115
2011-08-24,0.029450330019216306
2011-08-25,0.029447869674185462
2011-08-26,0.029447869674185462
2011-08-29,0.029633543505674653
2011-08-30,0.029693454637351534
2011-08-31,0.0016602515404743816
2011-09-01,0.0016637624767382845
2011-09-02,0.0016637624767382845
2011-09-05,0.0016637624767382845
2011-09-06,0.0016672882936339746
2011-09-07,0.0016671469740634007
2011-09-08,0.0016671469740634007
2011-09-09,0.001667005678447326
2011-09-12,0.0016564763348492504
2011-09-13,0.0016564763348492504
2011-09-14,0.0016495303589399528
2011-09-15,0.010104352815804572
2011-09-16,0.010102696500286862
2011-09-19,0.010093596462495906
2011-09-20,0.010093596462495906
2011-09-21,0.009930953915565581
2011-09-22,0.009930953915565581
2011-09-23,0.009930953915565581
2011-09-26,0.010283056644698424
2011-09-27,0.009792881544450623
2011-09-28,0.009582756744149887
2011-09-29,0.009579033260801988
2011-09-30,0.011157988809449798
2011-10-03,0.011157988809449798
2011-10-04,0.011157988809449798
2011-10-05,0.011157121765482942
2011-10-06,0.011157121765482942
2011-10-07,0.010861714199258642
2011-10-10,0.01069903129657228
2011-10-11,0.01069903129657228
2011-10-12,0.010389363241678726
2011-10-13,0.01007939627939628
2011-10-14,0.008965240826480548
2011-10-17,0.009203745743473326
2011-10-18,0.009186150251363026
2011-10-19,0.008961525177868343
2011-10-20,0.008961525177868343
2011-10-21,0.00896090620251416
2011-10-24,0.008959668508287291
2011-10-25,0.008959049789379187
2011-10-26,0.008941144038594074
2011-10-27,0.008002960952439702
2011-10-28,0.008002960952439702
2011-10-31,0.005145899632802938
2011-11-01,0.005145899632802938
2011-11-02,0.005169628035659392
2011-11-03,0.005169628035659392
2011-11-04,0.005168992438679535
2011-11-07,0.005129575402635433
2011-11-08,0.005129575402635433
2011-11-09,0.005129575402635433
2011-11-10,0.005083061298512876
2011-11-11,0.005083061298512876
2011-11-14,0.0050827540349392495
2011-11-15,0.01923737253972018
2011-11-16,0.01892877559353672
2011-11-17,0.01892877559353672
2011-11-18,0.018656700971655265
2011-11-21,0.01826294461954075
2011-11-22,0.01818617945412767
2011-11-23,0.018058656575212866
2011-11-24,0.018058656575212866
2011-11-25,0.018058656575212866
2011-11-28,0.017958713819248434
2011-11-29,0.01795672624647225
2011-11-30,0.009172469053934571
2011-12-01,0.009122059793361179
2011-12-02,0.009121558498653625
2011-12-05,0.009121558498653625
2011-12-06,0.009096563818709925
2011-12-07,0.009096563818709925
2011-12-08,0.009107544581618655
2011-12-09,0.009107544581618655
2011-12-12,0.008888085676037483
2011-12-13,0.008886658100439019
2011-12-14,0.008711294216437493
2011-12-15,0.02843516629259335
2011-12-16,0.028433715888803876
2011-12-19,0.02880098165848618
2011-12-20,0.028950558296546355
2011-12-21,0.028950558296546355
2011-12-22,0.028950558296546355
2011-12-23,0.027318941435922568
2011-12-26,0.027318941435922568
2011-12-27,0.027318941435922568
2011-12-28,0.027318941435922568
2011-12-29,0.027314925519404155
2011-12-30,0.007302142544818539
2012-01-02,0.007302142544818539
2012-01-03,0.0073017877963466775
2012-01-04,0.00727527953918389
2012-01-05,0.007274927395934172
2012-01-06,0.007274927395934172
2012-01-09,0.007145234133586879
2012-01-10,0.007128290253734883
2012-01-11,0.007128290253734883
2012-01-12,0.007127614169867691
2012-01-13,0.009072582931669975
2012-01-16,0.009072582931669975
2012-01-17,0.009072582931669975
2012-01-18,0.008976296227032587
2012-01-19,0.008976296227032587
2012-01-20,0.008944097642783937
2012-01-23,0.008901386248782974
2012-01-24,0.008900148340441314
2012-01-25,0.008879567107575618
2012-01-26,0.008859080841638983
2012-01-27,0.008859080841638983
2012-01-30,0.008848465296340677
2012-01-31,0.017449518455370717
2012-02-01,0.017153107447001267
2012-02-02,0.017150776756193666
2012-02-03,0.017150776756193666
2012-02-06,0.0171468936786814
2012-02-07,0.0171468936786814
2012-02-08,0.017127504636121036
2012-02-09,0.017126729986431482
2012-02-10,0.01701132075471698
2012-02-13,0.016878627145085805
2012-02-14,0.016877874844000714
2012-02-15,0.013443327725139469
2012-02-16,0.013442137418098105
2012-02-17,0.013320654558217074
2012-02-20,0.013320654558217074
2012-02-21,0.013276388281591604
2012-02-22,0.013432028312320283
2012-02-23,0.013431434132531186
2012-02-24,0.013860631790377068
2012-02-27,0.013860631790377068
2012-02-28,0.013860631790377068
2012-02-29,0.014388141753748297
2012-03-01,0.01438683445393422
2012-03-02,0.01438683445393422
2012-03-05,0.014383567243493664
2012-03-06,0.014383567243493664
2012-03-07,0.014318533254962247
2012-03-08,0.014318533254962247
2012-03-09,0.014318533254962247
2012-03-12,0.014317885884799708
2012-03-13,0.014315296989422296
2012-03-14,0.014314649911856438
2012-03-15,0.017483117117931563
2012-03-16,0.017345905462373308
2012-03-19,0.017343572037128382
2012-03-20,0.017343572037128382
2012-03-21,0.016815747141428635
2012-03-22,0.016670790052152922
2012-03-23,0.016493070657967675
2012-03-26,0.016493070657967675
2012-03-27,0.016493070657967675
2012-03-28,0.016353600270601665
2012-03-29,0.016073598470681127
2012-03-30,0.027298796816655976
2012-04-02,0.027295708251621666
2012-04-03,0.02701451925948044
2012-04-04,0.02701451925948044
2012-04-05,0.02681137247638451
2012-04-06,0.02681137247638451
2012-04-09,0.026038746582242048
2012-04-10,0.026038746582242048
