Date,mr_252
2011-11-08,-0.08673143659016114
2011-11-09,-0.1586278126152716
2011-11-10,-0.13132578129447292
2011-11-11,-0.11637115801858511
2011-11-14,-0.12474443665350465
2011-11-15,-0.1215660803495553
2011-11-16,-0.13215692270381185
2011-11-17,-0.1677922571050373
2011-11-18,-0.15243894719517936
2011-11-21,-0.19995947109782686
2011-11-22,-0.1901306516747172
2011-11-23,-0.20495663682136478
2011-11-25,-0.2040813091805157
2011-11-28,-0.15594619789585884
2011-11-29,-0.1584121990206282
2011-11-30,-0.10557989647122545
2011-12-01,-0.11627852869605382
2011-12-02,-0.1250472088838397
2011-12-05,-0.10690781641380276
2011-12-06,-0.16165339098891585
2011-12-07,-0.15669244043589825
2011-12-08,-0.18419716443620027
2011-12-09,-0.19620763395054452
2011-12-12,-0.23563641228011556
2011-12-13,-0.23414510778202646
2011-12-14,-0.23402870467368297
2011-12-15,-0.20874825975706912
2011-12-16,-0.2094734509880789
2011-12-19,-0.23134855059330317
2011-12-20,-0.1963133365200771
2011-12-21,-0.1975464996828481
2011-12-22,-0.1923249560760415
2011-12-23,-0.18954508409751647
2011-12-27,-0.1931981905799699
2011-12-28,-0.20762272891381106
2011-12-29,-0.208265198346532
2011-12-30,-0.19383408829693793
2012-01-03,-0.16047903034052202
2012-01-04,-0.15871523049258585
2012-01-05,-0.17180884023546472
2012-01-06,-0.17488872283749823
2012-01-09,-0.16582276707832633
2012-01-10,-0.1413811953942189
2012-01-11,-0.1407586124296084
2012-01-12,-0.1451732047743095
2012-01-13,-0.1504118295609319
2012-01-17,-0.13414990360835832
2012-01-18,-0.10889564740057811
2012-01-19,-0.10659115263636387
2012-01-20,-0.10951842944721446
2012-01-23,-0.09773848737745294
2012-01-24,-0.09333032242094752
2012-01-25,-0.06905821997786321
2012-01-26,-0.07149937395659467
2012-01-27,-0.05616540552062288
2012-01-30,-0.07159496579705904
2012-01-31,-0.06561098041435687
2012-02-01,-0.04091184873977094
2012-02-02,-0.04470857516553639
2012-02-03,-0.016748908142179553
2012-02-06,-0.020350714871777642
2012-02-07,-0.009395683029150614
2012-02-08,-0.012788952791181418
2012-02-09,-0.02115124484002784
2012-02-10,-0.04191098343237243
2012-02-13,-0.014735764577733845
2012-02-14,-0.02448588825489295
2012-02-15,-0.022450768882190997
2012-02-16,-0.009094024880727303
2012-02-17,-0.009017298490983539
2012-02-21,-0.013077181009487848
2012-02-22,-0.021285738401805476
2012-02-23,-0.010712456781175494
2012-02-24,0.033226424945485
2012-02-27,0.03911938588752606
2012-02-28,0.036797976671122834
2012-02-29,0.03002629030026238
2012-03-01,0.046002735707575404
2012-03-02,0.05509681844562819
2012-03-05,0.051148929150743205
2012-03-06,-0.01601067084578811
2012-03-07,0.004919468076319378
2012-03-08,0.03184005923731914
2012-03-09,0.03222563566678427
2012-03-12,0.029287124978910173
2012-03-13,0.05022006993701211
2012-03-14,0.043274466641287646
2012-03-15,0.053478685998953335
2012-03-16,0.04776499059361705
2012-03-19,0.03516193665682077
2012-03-20,0.01100460542239512
2012-03-21,0.011607229747064407
2012-03-22,-0.012420937297674683
2012-03-23,0.010917202263405645
2012-03-26,0.03168804915460055
2012-03-27,0.014854389714502148
2012-03-28,-0.01339919522686328
2012-03-29,-0.01977445697461322
2012-03-30,-0.006031572345508218
2012-04-02,0.008339946596738201
2012-04-03,0.007074625601899642
2012-04-04,-0.009600114202102494
2012-04-05,-0.00968610586391272
2012-04-09,-0.029436813340337764
2012-04-10,-0.05132968366017798
2012-04-11,-0.03163791171857533
2012-04-12,-0.016328146288349443
2012-04-13,-0.018499936021335706
2012-04-16,-0.03905839209394568
2012-04-17,-0.029633444969512368
2012-04-18,-0.038211241195657886
2012-04-19,-0.027429280805136624
2012-04-20,-0.016562911211566056
2012-04-23,-0.03881828248656516
2012-04-24,-0.040069969896673
2012-04-25,-0.028250888248648964
2012-04-26,-0.03462707862687542
2012-04-27,-0.026200942662625737
2012-04-30,-0.02285124843824715
2012-05-01,-0.020151396739427563
2012-05-02,-0.04245151622303578
2012-05-03,-0.05108886013635139
2012-05-04,-0.08787890867468162
2012-05-07,-0.09160408902650286
2012-05-08,-0.09269762293304806
2012-05-09,-0.10863621770886833
2012-05-10,-0.09078121730061361
2012-05-11,-0.0965643153526976
2012-05-14,-0.1294543879609933
2012-05-15,-0.13351706768236715
2012-05-16,-0.13929782224094878
2012-05-17,-0.1801891694294112
2012-05-18,-0.1895455230864329
2012-05-21,-0.15439847063826007
2012-05-22,-0.16345508359036054
2012-05-23,-0.18142325626511324
2012-05-24,-0.18215589313607305
2012-05-25,-0.18956615158068302
2012-05-29,-0.15871470301850066
2012-05-30,-0.1771005888997108
2012-05-31,-0.1891332019738794
2012-06-01,-0.20693545513924372
2012-06-04,-0.18729581307495913
2012-06-05,-0.18499733796620643
2012-06-06,-0.15204093085902448
2012-06-07,-0.1490892231175056
2012-06-08,-0.14073549465844204
2012-06-11,-0.15369313978530008
2012-06-12,-0.13243118354542793
2012-06-13,-0.1392025885669277
2012-06-14,-0.1259315325766719
2012-06-15,-0.10052159379422643
2012-06-18,-0.10456353965903764
2012-06-19,-0.09792388771249139
2012-06-20,-0.1170944098849197
2012-06-21,-0.15355301501905427
2012-06-22,-0.139927655157836
2012-06-25,-0.15500393580008553
2012-06-26,-0.13683320733152016
2012-06-27,-0.12607233971531484
2012-06-28,-0.13568196740882277
2012-06-29,-0.09031360417692702
2012-07-02,-0.07768758841735679
2012-07-03,-0.05092195386156595
2012-07-05,-0.06578093337924418
