Date,mr_252
2014-11-12,-0.2492024566505352
2014-11-13,-0.24006899889552136
2014-11-14,-0.23796868645159686
2014-11-17,-0.23819288450604437
2014-11-18,-0.22276390408914526
2014-11-19,-0.22533673097925
2014-11-20,-0.23108058459794878
2014-11-21,-0.21958332164988914
2014-11-24,-0.21045494081373695
2014-11-25,-0.20365361758677802
2014-11-26,-0.20782670858059737
2014-11-28,-0.23078316998415982
2014-12-01,-0.23872307422881578
2014-12-02,-0.2325249464761927
2014-12-03,-0.23342345418717347
2014-12-04,-0.23043061120830732
2014-12-05,-0.22349375096096813
2014-12-08,-0.23233224148056486
2014-12-09,-0.24193492617820955
2014-12-10,-0.26177140627556605
2014-12-11,-0.2721030151070344
2014-12-12,-0.2792893922815691
2014-12-15,-0.2959893934371892
2014-12-16,-0.2999601797599408
2014-12-17,-0.29359728413732455
2014-12-18,-0.27370621397352257
2014-12-19,-0.2833078101071975
2014-12-22,-0.28489761715067463
2014-12-23,-0.2824574003571949
2014-12-24,-0.28482206773675245
2014-12-26,-0.2791582917374089
2014-12-29,-0.29352554697965183
2014-12-30,-0.3030626257464949
2014-12-31,-0.3174291507038559
2015-01-02,-0.3012170872518033
2015-01-05,-0.32363853250430485
2015-01-06,-0.3307235048348196
2015-01-07,-0.3377614662373628
2015-01-08,-0.3277575163988299
2015-01-09,-0.327446993900668
2015-01-12,-0.3311760313185942
2015-01-13,-0.3202268112680252
2015-01-14,-0.3019798126573082
2015-01-15,-0.3057490383615761
2015-01-16,-0.29725297252972527
2015-01-20,-0.2896018146146876
2015-01-21,-0.2753846455125234
2015-01-22,-0.2678033905617272
2015-01-23,-0.2856960496469919
2015-01-26,-0.26243338380759473
2015-01-27,-0.2688939940925501
2015-01-28,-0.29927064879060483
2015-01-29,-0.2791989783155373
2015-01-30,-0.29558819651380497
2015-02-02,-0.2796720380773826
2015-02-03,-0.2555096213901199
2015-02-04,-0.27705054729792344
2015-02-05,-0.26525013501558903
2015-02-06,-0.2758788884280383
2015-02-09,-0.2764564550593349
2015-02-10,-0.26532323820617376
2015-02-11,-0.2792655853117064
2015-02-12,-0.25548819570558723
2015-02-13,-0.241755596565835
2015-02-17,-0.21788128471513113
2015-02-18,-0.21079950106626988
2015-02-19,-0.22399828065603744
2015-02-20,-0.2008608948598526
2015-02-23,-0.21407016220294262
2015-02-24,-0.19505926320689193
2015-02-25,-0.19638405253663604
2015-02-26,-0.19690921147001939
2015-02-27,-0.19228579947415525
2015-03-02,-0.19700286072057593
2015-03-03,-0.19413028111576336
2015-03-04,-0.21340604129648943
2015-03-05,-0.19751789976133693
2015-03-06,-0.2072900407469015
