Date,mr_252
2001-07-13,-0.24709402128598756
2001-07-16,-0.2583381088825215
2001-07-17,-0.23332964316026417
2001-07-18,-0.22895584176632922
2001-07-19,-0.24017079250684892
2001-07-20,-0.22853222689646913
2001-07-23,-0.19509417143988994
2001-07-24,-0.21149092712768114
2001-07-25,-0.22268594425398658
2001-07-26,-0.1994990441197808
2001-07-27,-0.21913369996843113
2001-07-30,-0.185541366831662
2001-07-31,-0.21788035327445354
2001-08-01,-0.20411867044378273
2001-08-02,-0.20929532977363252
2001-08-03,-0.2071327261088396
2001-08-06,-0.17850992420147516
2001-08-07,-0.17940454459621014
2001-08-08,-0.1813505471783745
2001-08-09,-0.18329208545886078
2001-08-10,-0.20123416200905309
2001-08-13,-0.19893617021276522
2001-08-14,-0.21469103332797657
2001-08-15,-0.21331390522017502
2001-08-16,-0.2119319387278812
2001-08-17,-0.2243681581464545
2001-08-20,-0.22407382959060584
2001-08-21,-0.2495007936101572
2001-08-22,-0.22661389253396946
2001-08-23,-0.22092336150861858
2001-08-24,-0.22171844772636506
2001-08-27,-0.23971119133573904
2001-08-28,-0.24688332996007956
2001-08-29,-0.23897943863948046
2001-08-30,-0.2516986808208981
2001-08-31,-0.25126037317440675
2001-09-04,-0.25081701828471625
2001-09-05,-0.2602257159632059
2001-09-06,-0.2596667262369169
2001-09-07,-0.2645807302816089
2001-09-10,-0.2718484856444864
2001-09-17,-0.3705807471138217
2001-09-18,-0.3435160860209363
2001-09-19,-0.35859194071329203
2001-09-20,-0.37485296848882443
2001-09-21,-0.39009556907037246
2001-09-24,-0.3696977235974612
2001-09-25,-0.3839755634912848
2001-09-26,-0.4151697052194664
2001-09-27,-0.38115388400325523
2001-09-28,-0.357200494916347
2001-10-01,-0.3681457682715842
2001-10-02,-0.36782085465158043
2001-10-03,-0.3686776355880549
2001-10-04,-0.3786307617134469
2001-10-05,-0.37717110335132065
2001-10-08,-0.3746130875274406
2001-10-09,-0.37094415771947997
2001-10-10,-0.36833742729040775
2001-10-11,-0.3426839034435404
2001-10-12,-0.3412187727883528
2001-10-15,-0.32834277678977486
2001-10-16,-0.31423361697424956
2001-10-17,-0.3058652000590564
2001-10-18,-0.3161860559721138
2001-10-19,-0.3148399468264941
2001-10-22,-0.3087879702039755
2001-10-23,-0.2876192601684967
