Date,mr_252
1997-03-14,-0.04291165670674557
1997-03-17,-0.057913389229837686
1997-03-18,-0.05745171519169734
1997-03-19,-0.046170261852577665
1997-03-20,-0.088342969677077
1997-03-21,-0.06689908296612246
1997-03-24,-0.07629637387281618
1997-03-25,-0.06568857731362687
1997-03-26,-0.06512778235779038
1997-03-27,-0.0746187659412817
1997-03-31,-0.08493353028064987
1997-04-01,-0.07345222182375377
1997-04-02,-0.07293841336116924
1997-04-03,-0.06238848837377997
1997-04-04,-0.05095421232131225
1997-04-07,-0.050564958422109285
1997-04-08,-0.03923661793860722
1997-04-09,-0.04431722414344297
1997-04-10,-0.04936073092550497
1997-04-11,-0.06532268621547366
1997-04-14,-0.08032878147820732
1997-04-15,-0.08518122037008757
1997-04-16,-0.07357329456644168
1997-04-17,-0.0574150294749205
1997-04-18,-0.06693904351949842
1997-04-21,-0.06639753842560037
1997-04-22,-0.0613119866778179
1997-04-23,-0.07093294748265389
1997-04-24,-0.08697321229448607
1997-04-25,-0.09648670303256524
1997-04-28,-0.1280244888394172
1997-04-29,-0.11162903190343287
1997-04-30,-0.08423449687022189
1997-05-01,-0.10483187341056843
1997-05-02,-0.0986217559116136
1997-05-05,-0.0878288990151409
1997-05-06,-0.0549235599938237
1997-05-07,-0.03782475474418778
1997-05-08,-0.06970341634338706
1997-05-09,-0.03680082483337688
1997-05-12,0.006195531261279585
1997-05-13,-0.014787110562486161
1997-05-14,-0.0034239380816373233
1997-05-15,-0.024465778878910882
1997-05-16,-0.03529463831293933
1997-05-19,-0.04610957387935921
1997-05-20,-0.029095257074532865
1997-05-21,-0.02885871852229327
1997-05-22,-0.02857902432540349
1997-05-23,-0.02823815345746683
1997-05-27,-0.0335016978085535
1997-05-28,-0.017451271703218918
1997-05-29,-0.03300505722651215
1997-05-30,-0.03270468160639173
1997-06-02,-0.005584443441794207
1997-06-03,-0.021210798493717098
1997-06-04,-0.005227582992044066
1997-06-05,-0.02636808739772145
1997-06-06,-0.010312483805774986
1997-06-09,-0.020272146625939236
1997-06-10,-0.015340627106467775
1997-06-11,-0.015096226869433571
1997-06-12,-0.02512700606590834
1997-06-13,-0.04159422922234857
1997-06-16,-0.04129571469359394
1997-06-17,-0.03532798195765641
1997-06-18,-0.02939539439996075
1997-06-19,-0.02346246784628825
1997-06-20,-0.034325010768342046
1997-06-23,-0.022773281232010834
1997-06-24,-0.01685393258427237
1997-06-25,-0.016550642438481367
1997-06-26,-0.006022483940045675
1997-06-27,-0.027244126112861644
1997-06-30,-0.03812500000000285
1997-07-01,-0.03219756173804611
1997-07-02,-0.015075376884425173
1997-07-03,-0.010245260822304258
1997-07-07,0.0010647882709444723
1997-07-08,0.01704835268756022
1997-07-09,-0.014693944426656502
1997-07-10,-0.025798594429115806
1997-07-11,-0.014466411406269697
1997-07-14,-0.042553191489365094
1997-07-15,-0.04721816610543572
1997-07-16,-0.04702647521255743
1997-07-17,-0.03652278901298256
1997-07-18,-0.03642943125366038
1997-07-21,-0.019495451309825107
1997-07-22,-0.013853017140177282
1997-07-23,-0.013867718143570462
1997-07-24,-0.019495451309825107
1997-07-25,-0.013897118835462963
1997-07-28,-0.019652558857069624
1997-07-29,-0.019773095623990544
1997-07-30,-0.0366233079092817
1997-07-31,-0.019714657257091428
1997-08-01,-0.04683470717128846
1997-08-04,-0.03643302227125356
1997-08-05,-0.06909161395177532
1997-08-06,-0.05194984358746213
1997-08-07,-0.0686298641723948
1997-08-08,-0.10124230554001434
1997-08-11,-0.1168718720026305
1997-08-12,-0.14378523690400935
1997-08-13,-0.12177411221551415
1997-08-14,-0.14865501184666163
1997-08-15,-0.15954459628722883
1997-08-18,-0.16478879561880266
1997-08-19,-0.14736771189676257
1997-08-20,-0.11958389970455385
1997-08-21,-0.11350711433131588
1997-08-22,-0.11872259080175718
1997-08-25,-0.1352514963771949
1997-08-26,-0.12437288224633236
1997-08-27,-0.13991882342781703
1997-08-28,-0.21209752577939733
1997-08-29,-0.22177753035523784
1997-09-02,-0.23247382509402914
1997-09-03,-0.21002241856785198
1997-09-04,-0.19232292000528184
1997-09-05,-0.17469013526515664
1997-09-08,-0.16940014498006817
1997-09-09,-0.15745809391044463
1997-09-10,-0.16266727149013682
1997-09-11,-0.1839785735362015
1997-09-12,-0.161475447070762
1997-09-15,-0.1665871121718404
1997-09-16,-0.1764299985972071
1997-09-17,-0.19296355040183621
1997-09-18,-0.19226168096524188
1997-09-19,-0.19154015159002558
1997-09-22,-0.19658815517654882
1997-09-23,-0.1901672301928201
1997-09-24,-0.18953152507754845
1997-09-25,-0.1888793547279931
1997-09-26,-0.19973128950502572
1997-09-29,-0.19327345866011902
1997-09-30,-0.16955684007707394
1997-10-01,-0.2140971185856988
1997-10-02,-0.1970342228622226
1997-10-03,-0.20114382968284295
1997-10-06,-0.21209819424783594
1997-10-07,-0.24525403944216007
1997-10-08,-0.23874677161480995
1997-10-09,-0.2331762488218686
1997-10-10,-0.21507115135834654
1997-10-13,-0.21446626182916928
1997-10-14,-0.23126583596543226
1997-10-15,-0.23539970585170056
1997-10-16,-0.23467294161286445
1997-10-17,-0.22910446606748047
1997-10-20,-0.24500373534409892
1997-10-21,-0.2618217324592014
1997-10-22,-0.27766529358374825
1997-10-23,-0.31195942193344106
1997-10-24,-0.30519930001944573
1997-10-27,-0.3444349248383848
1997-10-28,-0.27392811331568645
1997-10-29,-0.31921937279672863
1997-10-30,-0.3527346651550115
1997-10-31,-0.31145923855602964
1997-11-03,-0.25345622119815847
1997-11-04,-0.25857929670950597
