Date,debt_gdp
2003-12-31,23.1
2004-12-31,23.5
2005-12-31,17.4
2006-12-31,23.3
2007-12-31,22.8
2008-12-31,35.8
2009-12-31,39.1
2010-12-31,36.9
2011-12-31,35.4
2012-12-31,35.8
2013-12-31,37.7
2014-12-31,42.1
2015-12-31,46.5
2016-12-31,50.2
2017-12-31,54.2
