Date,debt_gdp
2003-12-31,62.4
2004-12-31,65
2005-12-31,64.7
2006-12-31,62.3
2007-12-31,60.8
2008-12-31,37.5
2009-12-31,53.5
2010-12-31,62.9
2011-12-31,67.8
2012-12-31,70
2013-12-31,71.8
2014-12-31,74.4
2015-12-31,73.6
2016-12-31,76.5
2017-12-31,82.3
