Date,debt_gdp
2003-12-31,14.8
2004-12-31,12.8
2005-12-31,7.5
2006-12-31,5.4
2007-12-31,4.1
2008-12-31,5.2
2009-12-31,6.1
2010-12-31,9.2
2011-12-31,11.2
2012-12-31,11.9
2013-12-31,13.9
2014-12-31,15.1
2015-12-31,16.7
2016-12-31,21.3
2017-12-31,23.6
