Date,debt_gdp
2003-12-31,62.7
2004-12-31,53.2
2005-12-31,42.9
2006-12-31,39.9
2007-12-31,36.2
2008-12-31,40.7
2009-12-31,53.2
2010-12-31,60.1
2011-12-31,68.5
2012-12-31,84.1
2013-12-31,93.7
2014-12-31,97.7
2015-12-31,99.2
2016-12-31,99.4
2017-12-31,98.4
