Date,debt_gdp
2003-12-31,38.2
2004-12-31,45.9
2005-12-31,35.8
2006-12-31,33.3
2007-12-31,31.3
2008-12-31,31.6
2009-12-31,29.7
2010-12-31,33.4
2011-12-31,38.6
2012-12-31,42.3
2013-12-31,45.4
2014-12-31,44.8
2015-12-31,44.4
2016-12-31,50.1
2017-12-31,52.7
