Date,debt_gdp
2003-12-31,59.8
2004-12-31,61.5
2005-12-31,63.9
2006-12-31,65.3
2007-12-31,63.6
2008-12-31,66.4
2009-12-31,76.8
2010-12-31,93.5
2011-12-31,107.8
2012-12-31,123.6
2013-12-31,127.8
2014-12-31,130.2
2015-12-31,129
2016-12-31,130.4
2017-12-31,125.6
