,Train,Test
technical_developed_rfr,0.0016612389482824294,0.0014860302621162117
technical_developed_ridge,0.001687429135745452,0.0014764951014322794
technical_emerging_rfr,0.003920301343145278,0.00392118361864228
technical_emerging_ridge,0.004008615343877916,0.003884574337152473
fundamental_developed_rfr,0.001599383745187739,0.0015089777356970828
fundamental_developed_ridge,0.0016527362089567672,0.0014899906995783543
fundamental_emerging_rfr,0.0035309656862870776,0.003946377645952154
fundamental_emerging_ridge,0.0037842149565710218,0.0038330308958452117
economic_developed_rfr,0.0016546741216700053,0.001502599652946495
economic_developed_ridge,0.001690957446978684,0.001476903572162052
economic_emerging_rfr,0.0038825256349426717,0.004787813307478531
economic_emerging_ridge,0.004071620538887175,0.0038550877293516777
sentimental_and_alternative_developed_rfr,0.0015723372854346076,0.0015101774250624227
sentimental_and_alternative_developed_ridge,0.0016164119261028846,0.00149740956576439
sentimental_and_alternative_emerging_rfr,0.003931256429549463,0.003956846985538928
sentimental_and_alternative_emerging_ridge,0.004082264112858737,0.0038473091055849424
