Date,Market,Ticker,"Forward Return (one month, 21-trading day)",technical_emerging_ridge_train
2016-01-04,Emerging,ARGT,-0.06674405107370872,0.0049091383110196115
2016-01-04,Emerging,ECH,0.019849418206707714,0.011667582424003294
2016-01-04,Emerging,EIDO,0.04203425012973527,0.009654076838692687
2016-01-04,Emerging,EPHE,-0.04995403003371135,0.012618561811778813
2016-01-04,Emerging,EPOL,-0.025324274243360256,0.013040678521877387
2016-01-04,Emerging,EPU,-0.024496461622210086,0.01945226634695519
2016-01-04,Emerging,ERUS,0.0022123893805310324,0.003489917833525669
2016-01-04,Emerging,EWM,0.05351437699680517,0.013784871066648125
2016-01-04,Emerging,EWT,0.005847953216374213,0.009482231952790346
2016-01-04,Emerging,EWW,-0.025395411004678133,0.009764611722750557
2016-01-04,Emerging,EWY,-0.026479750778816147,0.005947278639448124
2016-01-04,Emerging,EWZ,-0.011061946902654829,0.017630000508574113
2016-01-04,Emerging,EZA,-0.026688453159041337,0.01590269467250842
2016-01-04,Emerging,GREK,-0.14020691149387932,0.017898619238959614
2016-01-04,Emerging,MCHI,-0.11501360375958447,0.008950238691725763
2016-01-04,Emerging,THD,0.055513016845329284,0.012267507373899773
2016-01-04,Emerging,TUR,0.07241268824094838,0.013006773200716833
2016-01-05,Emerging,ARGT,-0.03360370799536516,0.003772156484788387
2016-01-05,Emerging,ECH,0.03737682636765216,0.012196398895920833
2016-01-05,Emerging,EIDO,0.033958438925494105,0.008920615719047056
2016-01-05,Emerging,EPHE,-0.04020712762717017,0.011987526235519706
2016-01-05,Emerging,EPOL,0.005667506297229119,0.012449714526434752
2016-01-05,Emerging,EPU,-0.004350190320826619,0.02031257707749437
2016-01-05,Emerging,ERUS,-0.029923830250272117,0.007397108437144575
2016-01-05,Emerging,EWM,0.0582408874801903,0.014332015020368623
2016-01-05,Emerging,EWT,0.02030685920577624,0.00940405180709581
2016-01-05,Emerging,EWW,-0.012513966480447005,0.00801897802223438
2016-01-05,Emerging,EWY,-0.011965433192998032,0.005408504771633609
2016-01-05,Emerging,EWZ,0.015812431842966213,0.018042836007501395
2016-01-05,Emerging,EZA,-0.013839891451831732,0.015474241737740625
2016-01-05,Emerging,GREK,-0.1600954137601065,0.017430452121671793
2016-01-05,Emerging,MCHI,-0.12301980198019805,0.008639803435968827
2016-01-05,Emerging,THD,0.05448963929393713,0.012219598683695626
2016-01-05,Emerging,TUR,0.07145156099130999,0.0135395764169131
2016-01-06,Emerging,ARGT,-0.02240566037735869,0.003225616141243566
2016-01-06,Emerging,ECH,0.03253424657534243,0.01260448051932579
2016-01-06,Emerging,EIDO,0.06714140386571721,0.007166942378302864
2016-01-06,Emerging,EPHE,-0.02691831683168322,0.012960735925985645
2016-01-06,Emerging,EPOL,0.035415325177076566,0.012817561449814347
2016-01-06,Emerging,EPU,0.031526548672566435,0.022194887292282143
2016-01-06,Emerging,ERUS,-0.01941209095951202,0.005900493530522257
2016-01-06,Emerging,EWM,0.05958654235914064,0.015329947633692687
2016-01-06,Emerging,EWT,0.027239150507848642,0.009485959921764766
2016-01-06,Emerging,EWW,-0.016879562043795704,0.008772204972303518
2016-01-06,Emerging,EWY,-0.0045207956600362715,0.005134697660367798
2016-01-06,Emerging,EWZ,0.007198228128460826,0.018231348943891487
2016-01-06,Emerging,EZA,0.009515813042261456,0.01483706874316328
2016-01-06,Emerging,GREK,-0.16121187846884474,0.01645804915563518
2016-01-06,Emerging,MCHI,-0.11681772406847934,0.008729604795362361
2016-01-06,Emerging,THD,0.05894900135737835,0.013796807375823245
2016-01-06,Emerging,TUR,0.07057300097118803,0.013441932411715606
2016-01-07,Emerging,ARGT,-0.014475271411338862,0.0014159133474011647
2016-01-07,Emerging,ECH,0.0642299503193755,0.011450708736286189
2016-01-07,Emerging,EIDO,0.08718487394957974,0.009478142857079402
2016-01-07,Emerging,EPHE,-0.0031928480204342913,0.011448106295408886
2016-01-07,Emerging,EPOL,0.028478964401294608,0.014928017945977173
2016-01-07,Emerging,EPU,0.04635387224420584,0.021570356306244164
2016-01-07,Emerging,ERUS,-0.005757052389176787,0.003480771076738682
2016-01-07,Emerging,EWM,0.05982905982905984,0.015253020556484488
2016-01-07,Emerging,EWT,0.0411347517730496,0.010171226179211642
2016-01-07,Emerging,EWW,0.001424163304058812,0.007542095450476145
2016-01-07,Emerging,EWY,0.004824259131633424,0.004844507243067297
