Date,Market,Ticker,"Forward Return (one month, 21-trading day)",economic_emerging_ridge_train
2016-01-04,Emerging,ARGT,-0.06674405107370872,0.011489431931587284
2016-01-04,Emerging,ECH,0.019849418206707714,0.014538566029190974
2016-01-04,Emerging,EIDO,0.04203425012973527,0.010226403365889338
2016-01-04,Emerging,EPHE,-0.04995403003371135,0.006221715526587484
2016-01-04,Emerging,EPOL,-0.025324274243360256,0.009377270812567463
2016-01-04,Emerging,EPU,-0.024496461622210086,0.010820517620176015
2016-01-04,Emerging,ERUS,0.0022123893805310324,0.019910652567374083
2016-01-04,Emerging,EWM,0.05351437699680517,0.008533314535012139
2016-01-04,Emerging,EWT,0.005847953216374213,0.015433515302621704
2016-01-04,Emerging,EWW,-0.025395411004678133,0.011421229782175892
2016-01-04,Emerging,EWY,-0.026479750778816147,0.010059852859312568
2016-01-04,Emerging,EWZ,-0.011061946902654829,0.015441192525470705
2016-01-04,Emerging,EZA,-0.026688453159041337,0.014838048374088043
2016-01-04,Emerging,GREK,-0.14020691149387932,0.012798151887502182
2016-01-04,Emerging,MCHI,-0.11501360375958447,0.008485892559509548
2016-01-04,Emerging,THD,0.055513016845329284,0.010532610611218546
2016-01-04,Emerging,TUR,0.07241268824094838,0.007972111931678008
2016-01-05,Emerging,ARGT,-0.03360370799536516,0.011489525595384591
2016-01-05,Emerging,ECH,0.03737682636765216,0.014538691370457685
2016-01-05,Emerging,EIDO,0.033958438925494105,0.010226538836579407
2016-01-05,Emerging,EPHE,-0.04020712762717017,0.0062219980273923265
2016-01-05,Emerging,EPOL,0.005667506297229119,0.009377404625715527
2016-01-05,Emerging,EPU,-0.004350190320826619,0.010820736888822936
2016-01-05,Emerging,ERUS,-0.029923830250272117,0.019910673053761447
2016-01-05,Emerging,EWM,0.0582408874801903,0.00853342888738927
2016-01-05,Emerging,EWT,0.02030685920577624,0.015433716706649253
2016-01-05,Emerging,EWW,-0.012513966480447005,0.011421350764721038
2016-01-05,Emerging,EWY,-0.011965433192998032,0.010060106322437123
2016-01-05,Emerging,EWZ,0.015812431842966213,0.0154411962522667
2016-01-05,Emerging,EZA,-0.013839891451831732,0.014838052100884038
2016-01-05,Emerging,GREK,-0.1600954137601065,0.012798289199905586
2016-01-05,Emerging,MCHI,-0.12301980198019805,0.008486197713388443
2016-01-05,Emerging,THD,0.05448963929393713,0.01053006438054596
2016-01-05,Emerging,TUR,0.07145156099130999,0.007972202341781752
2016-01-06,Emerging,ARGT,-0.02240566037735869,0.011489420187945501
2016-01-06,Emerging,ECH,0.03253424657534243,0.014538550342827021
2016-01-06,Emerging,EIDO,0.06714140386571721,0.010226386418771206
2016-01-06,Emerging,EPHE,-0.02691831683168322,0.0062216802794313715
2016-01-06,Emerging,EPOL,0.035415325177076566,0.009377254071754559
2016-01-06,Emerging,EPU,0.031526548672566435,0.010820490243182372
2016-01-06,Emerging,ERUS,-0.01941209095951202,0.01991064993172615
2016-01-06,Emerging,EWM,0.05958654235914064,0.008533300216375451
2016-01-06,Emerging,EWT,0.027239150507848642,0.015433490149139983
2016-01-06,Emerging,EWW,-0.016879562043795704,0.011421214638318286
2016-01-06,Emerging,EWY,-0.0045207956600362715,0.010059821226318445
2016-01-06,Emerging,EWZ,0.007198228128460826,0.015441191975797873
2016-01-06,Emerging,EZA,0.009515813042261456,0.014838047824415213
2016-01-06,Emerging,GREK,-0.16121187846884474,0.012798134711156013
2016-01-06,Emerging,MCHI,-0.11681772406847934,0.00848585449284863
2016-01-06,Emerging,THD,0.05894900135737835,0.010532928985609067
2016-01-06,Emerging,TUR,0.07057300097118803,0.007972100593005751
2016-01-07,Emerging,ARGT,-0.014475271411338862,0.011489195552392082
2016-01-07,Emerging,ECH,0.0642299503193755,0.014538251513077687
2016-01-07,Emerging,EIDO,0.08718487394957974,0.01022606386413364
2016-01-07,Emerging,EPHE,-0.0031928480204342913,0.006221013354446482
2016-01-07,Emerging,EPOL,0.028478964401294608,0.009376935399371431
2016-01-07,Emerging,EPU,0.04635387224420584,0.010819971419014912
2016-01-07,Emerging,ERUS,-0.005757052389176787,0.019910596690516785
2016-01-07,Emerging,EWM,0.05982905982905984,0.008533027124535164
2016-01-07,Emerging,EWT,0.0411347517730496,0.015433013167048128
2016-01-07,Emerging,EWW,0.001424163304058812,0.011420926017460248
2016-01-07,Emerging,EWY,0.004824259131633424,0.010059222312679812
2016-01-07,Emerging,EWZ,0.021276595744681,0.015441177988494488
2016-01-07,Emerging,EZA,0.04686118479221935,0.014838033837111827
2016-01-07,Emerging,GREK,-0.1825549062467473,0.012797807842902407
2016-01-07,Emerging,MCHI,-0.0986876640419947,0.008485134510386428
2016-01-07,Emerging,THD,0.10722891566265068,0.010538982099339577
2016-01-07,Emerging,TUR,0.0410737386804656,0.007971883578174004
2016-01-08,Emerging,ARGT,-0.010448678549477508,0.011488992135838531
2016-01-08,Emerging,ECH,0.07158273381294955,0.01453798287073092
2016-01-08,Emerging,EIDO,0.10322922181048176,0.010225774364701835
2016-01-08,Emerging,EPHE,0.019915115899445057,0.006220421111265159
2016-01-08,Emerging,EPOL,0.04924491135915954,0.009376649312917177
2016-01-08,Emerging,EPU,0.03420752565564422,0.010819509374606868
2016-01-08,Emerging,ERUS,-0.03040935672514633,0.019910543950601826
2016-01-08,Emerging,EWM,0.06039441248972888,0.008532781108965501
2016-01-08,Emerging,EWT,0.03325415676959609,0.015432587906953699
2016-01-08,Emerging,EWW,-0.0009636232233196652,0.011420666349980377
2016-01-08,Emerging,EWY,-0.0004620004620004004,0.010058689859808935
2016-01-08,Emerging,EWZ,0.012131715771230622,0.015441159757574777
2016-01-08,Emerging,EZA,0.040024074631357376,0.014838015606192113
2016-01-08,Emerging,GREK,-0.2038545957485192,0.012797514551273322
2016-01-08,Emerging,MCHI,-0.09832134292565944,0.00848449562317856
2016-01-08,Emerging,THD,0.09038308060654444,0.010544404412534382
2016-01-08,Emerging,TUR,0.056164838816882716,0.007971686861168982
2016-01-11,Emerging,ARGT,-0.0012338062924120985,0.011489384909458238
