Date,Market,Ticker,"Forward Return (one month, 21-trading day)",sentimental_and_alternative_emerging_ridge_train
2016-01-04,Emerging,ARGT,-0.06674405107370872,0.01416653772193903
2016-01-04,Emerging,ECH,0.019849418206707714,0.012696588597176024
2016-01-04,Emerging,EIDO,0.04203425012973527,0.004320099313059974
2016-01-04,Emerging,EPHE,-0.04995403003371135,0.01097185561137215
2016-01-04,Emerging,EPU,-0.024496461622210086,0.014137518766960677
2016-01-04,Emerging,EWM,0.05351437699680517,0.004409729346470966
2016-01-04,Emerging,EWT,0.005847953216374213,0.011369656906831031
2016-01-04,Emerging,EWW,-0.025395411004678133,0.011578903794230648
2016-01-04,Emerging,EWY,-0.026479750778816147,0.012294220169582695
2016-01-04,Emerging,EWZ,-0.011061946902654829,0.011167971415264448
2016-01-04,Emerging,EZA,-0.026688453159041337,0.012075967104579935
2016-01-04,Emerging,GREK,-0.14020691149387932,0.014300652773853808
2016-01-04,Emerging,MCHI,-0.11501360375958447,0.01108512940570115
2016-01-04,Emerging,THD,0.055513016845329284,0.009995293034483481
2016-01-04,Emerging,TUR,0.07241268824094838,0.004862665304948763
2016-01-05,Emerging,ARGT,-0.03360370799536516,0.014018006670717443
2016-01-05,Emerging,ECH,0.03737682636765216,0.012693078799911604
2016-01-05,Emerging,EIDO,0.033958438925494105,0.003905516749895958
2016-01-05,Emerging,EPHE,-0.04020712762717017,0.011101048315460856
2016-01-05,Emerging,EPU,-0.004350190320826619,0.013980764700959512
2016-01-05,Emerging,EWM,0.0582408874801903,0.005141482831961086
2016-01-05,Emerging,EWT,0.02030685920577624,0.011575926983534856
2016-01-05,Emerging,EWW,-0.012513966480447005,0.011493595659958384
2016-01-05,Emerging,EWY,-0.011965433192998032,0.012274296682347004
2016-01-05,Emerging,EWZ,0.015812431842966213,0.011124531681993741
2016-01-05,Emerging,EZA,-0.013839891451831732,0.01207982534742056
2016-01-05,Emerging,GREK,-0.1600954137601065,0.014143898707852641
2016-01-05,Emerging,MCHI,-0.12301980198019805,0.011240330624744659
