Date,mr_63
1996-06-14,0.036809657698558595
1996-06-17,0.035874439461883956
1996-06-18,0.03512747875354161
1996-06-19,0.03438159452365075
1996-06-20,0.011319201481787111
1996-06-21,-0.00020576660922289047
1996-06-24,-0.000385742940903433
1996-06-25,-0.0005656544879534264
1996-06-26,-0.0005656544879534264
1996-06-27,-0.005348418616610173
1996-06-28,-0.022992053082322994
1996-07-01,-0.02760270624855199
1996-07-02,-0.03373735814097023
1996-07-03,-0.03338911056763938
1996-07-05,-0.03269186181312189
1996-07-08,-0.03199360643481275
1996-07-09,-0.024893589578226405
1996-07-10,-0.024289512402879243
1996-07-11,-0.024213950126489525
1996-07-12,-0.030544008675220113
1996-07-15,-0.03517471139691519
1996-07-16,-0.034576323746025706
1996-07-17,-0.03432677643652793
1996-07-18,-0.03397719339073668
1996-07-19,-0.033552359271522114
1996-07-22,-0.032951956926898895
1996-07-23,-0.03235080812266766
1996-07-24,-0.03174891146589154
1996-07-25,-0.031146265560164865
1996-07-26,-0.03054286900560399
1996-07-29,-0.03029123189534233
1996-07-30,-0.025107101129428933
1996-07-31,-0.018309310479157292
1996-08-01,-0.0180542927652928
1996-08-02,-0.012965080024941233
1996-08-05,-0.028980610282267172
1996-08-06,-0.028627145085802108
1996-08-07,-0.028273422462673614
1996-08-08,-0.028020605682171795
1996-08-09,-0.02776765731535835
1996-08-12,-0.034149769645226535
1996-08-13,-0.033973758200561255
1996-08-14,-0.03864382063434091
1996-08-15,-0.04485776805251529
1996-08-16,-0.03319350720408443
1996-08-19,-0.03273987957146107
1996-08-20,-0.03713942934640757
1996-08-21,-0.043087924419969226
1996-08-22,-0.05218617771509082
1996-08-23,-0.030161260813882707
1996-08-26,-0.02782863419992554
1996-08-27,-0.027141623262751713
1996-08-28,-0.03782778403583564
1996-08-29,-0.02993022401762635
1996-08-30,-0.02863071629324032
1996-09-03,-0.03867403314917006
1996-09-04,-0.03702727632098979
1996-09-05,-0.03537486800422274
1996-09-06,-0.03371677905592907
1996-09-09,-0.032052980132449393
1996-09-10,-0.03038344168767315
1996-09-11,-0.028708133971291017
1996-09-12,-0.045378285531676
1996-09-13,-0.06680367246717123
1996-09-16,-0.04647555888330224
1996-09-17,-0.04463615903975915
1996-09-18,-0.04278964887791192
1996-09-19,-0.04129698338441623
1996-09-20,-0.02829071332436006
1996-09-23,-0.04553174282248218
1996-09-24,-0.04411447084233189
1996-09-25,-0.04269298364201635
1996-09-26,-0.04134513849402899
1996-09-27,-0.0402797354439981
1996-09-30,-0.027508749084397488
1996-10-01,-0.026795895096920708
1996-10-02,-0.014288042592491612
1996-10-03,-0.013752242213403987
1996-10-04,-0.013215859030836552
1996-10-07,-0.024385597256619818
1996-10-08,-0.023561778165177016
1996-10-09,-0.01597383126618468
1996-10-10,-0.022123410988051262
1996-10-11,-0.0214827755636835
1996-10-14,-0.020841300191204226
1996-10-15,-0.02019898321762381
1996-10-16,-0.00768410402253239
1996-10-17,-0.0072225869993429725
1996-10-18,-0.0067606404817294186
1996-10-21,-0.006298263869871756
1996-10-22,-0.005835456562833241
1996-10-23,-0.005372217958556469
1996-10-24,-0.004908547453861711
1996-10-25,-0.004444444444443696
1996-10-28,-0.0038978863573969624
1996-10-29,-0.0032412239740694515
1996-10-30,-0.01963048498845188
1996-10-31,-0.01863217283610774
1996-11-01,-0.017902390657705824
1996-11-04,-0.017171522284390783
1996-11-05,-0.01643956528934698
1996-11-06,0.001407401274940323
1996-11-07,-0.0032581384432719407
1996-11-08,-0.002817601723708818
1996-11-11,-0.009231364528343167
1996-11-12,0.0032346354814634104
1996-11-13,0.010257402748210076
1996-11-14,0.010508849557522293
1996-11-15,0.01590418764175494
1996-11-18,0.015988492711128677
1996-11-19,0.022817789578493564
1996-11-20,0.02250670500732732
1996-11-21,0.02256325176275431
1996-11-22,0.027789299046039106
1996-11-25,0.015791802643951636
1996-11-26,0.010648596321394033
1996-11-27,0.010844306738962084
1996-11-29,0.004178542767800497
1996-12-02,0.011152004870354615
1996-12-03,0.011152004870354615
1996-12-04,0.011152004870354615
1996-12-05,0.011152004870354615
1996-12-06,-0.0008580127318016384
1996-12-09,-0.000664396644796672
1996-12-10,0.004678977823306507
1996-12-11,0.004484304932735661
1996-12-12,0.003900738650510549
1996-12-13,0.003623088198689395
1996-12-16,-0.0017973675478372142
1996-12-17,-0.0019905449116691676
1996-12-18,0.002957353306984878
1996-12-19,0.009726981319774897
1996-12-20,0.00922499033309454
1996-12-23,0.008723498233215832
1996-12-24,0.008222504276806264
1996-12-26,0.007722007722008151
1996-12-27,0.007222007828436183
1996-12-30,0.006916696519606802
1996-12-31,0.023684935279537855
1997-01-02,0.011344549384586289
1997-01-03,0.011149653121903302
1997-01-06,0.005835719004624762
1997-01-07,0.00553124742012745
1997-01-08,0.005226960110041645
1997-01-09,-0.006905089408527854
1997-01-10,-0.007014358805083054
1997-01-13,-0.0071236041586443255
1997-01-14,-0.00723282547714621
1997-01-15,-0.007342022768519918
1997-01-16,-0.002144860584062047
1997-01-17,-0.002144860584062047
1997-01-20,-0.002144860584062047
1997-01-21,-0.002144860584062047
1997-01-22,-0.002144860584062047
1997-01-23,-0.007260127052223342
1997-01-24,-0.019118092041922385
1997-01-27,-0.018848196351429536
1997-01-28,-0.018578152093138733
1997-01-29,-0.013186147662831216
1997-01-30,-0.013267637424647094
1997-01-31,-0.006522457067371312
1997-02-03,-0.0015957739503660306
1997-02-04,-0.0018703927824844646
1997-02-05,-0.002144860584062047
1997-02-06,-0.002144860584062047
