Date,mr_21
2012-02-22,0.06033201989535586
2012-02-23,0.05260791366906492
2012-02-24,0.07000106416941598
2012-02-27,0.06135579588986029
2012-02-28,0.06904751883496818
2012-02-29,0.0573801355535104
2012-03-01,0.05157211778406268
2012-03-02,0.03786906290115555
2012-03-05,0.021675466094704054
2012-03-06,-0.029657261804167057
2012-03-07,-0.01073808936065146
2012-03-08,0.02212198872373161
2012-03-09,0.0014531611371499942
2012-03-12,-0.00419008686765443
2012-03-13,0.005323705788765176
2012-03-14,-0.012474775270592375
2012-03-15,-0.0024209626886926294
2012-03-16,0.007832951155664736
2012-03-19,0.008064679540434883
2012-03-20,0.04862190812720857
2012-03-21,-0.02262443438914019
2012-03-22,-0.034775748012381036
2012-03-23,-0.014369851646461096
2012-03-26,0.01831575964866139
2012-03-27,-0.0016811829045978444
2012-03-28,-0.00022313278429142436
2012-03-29,-0.023811944608251756
2012-03-30,-0.00018327326043132697
2012-04-02,0.017515631682926358
2012-04-03,-0.013865383439022883
2012-04-04,-0.026101839965768092
2012-04-05,-0.03521615008156631
2012-04-09,-0.04963378206964286
2012-04-10,-0.05967576441617095
2012-04-11,-0.051228243426737485
2012-04-12,-0.029257128718995662
2012-04-13,-0.027954414072177913
2012-04-16,-0.037275436708336995
2012-04-17,-0.006033088692623756
2012-04-18,-0.010076037728009468
2012-04-19,-0.005862716461506379
2012-04-20,-0.005136235515189602
2012-04-23,-0.02765583845478503
2012-04-24,-0.01882722513089008
2012-04-25,-0.015425028895660553
2012-04-26,-0.013019022941288094
2012-04-27,0.005865968939905208
2012-04-30,0.007893626002532628
2012-05-01,0.01981369214845463
2012-05-02,0.021539958951354965
2012-05-03,0.02162642571470874
2012-05-04,-0.018246550956831475
2012-05-07,-0.020240595760931956
2012-05-08,-0.04208804283164802
2012-05-09,-0.05032757593805848
2012-05-10,-0.039092941552219984
2012-05-11,-0.04317299073797454
2012-05-14,-0.06501766784452323
2012-05-15,-0.07392761970257045
2012-05-16,-0.06670697734683761
2012-05-17,-0.07767959879290531
2012-05-18,-0.08938986827446116
2012-05-21,-0.06297760210803727
2012-05-22,-0.05300742765202471
2012-05-23,-0.08112780954914256
2012-05-24,-0.07631086142322119
2012-05-25,-0.07096730795102957
2012-05-29,-0.06473894494480992
2012-05-30,-0.05834090909090961
2012-05-31,-0.07061331133113358
2012-06-01,-0.08127429205996717
2012-06-04,-0.08565485650182347
2012-06-05,-0.07826599128283718
2012-06-06,-0.027630331753555004
2012-06-07,-0.00696938702695038
2012-06-08,-0.01229557120687641
2012-06-11,-0.012854950115119279
2012-06-12,-0.010622154779970194
2012-06-13,-0.01251691474966199
2012-06-14,0.004067107269953851
2012-06-15,0.015784114052952658
2012-06-18,0.01986754966887383
2012-06-19,0.0194471387002908
2012-06-20,0.04633578906552893
2012-06-21,0.019941775836971987
2012-06-22,0.010041475660335752
2012-06-25,-0.012040588435209165
2012-06-26,-0.00293860501262877
2012-06-27,0.011096003496333662
2012-06-28,0.0016271219370036505
2012-06-29,0.05840934936727238
2012-07-02,0.06407818405026133
2012-07-03,0.07031642390758419
2012-07-05,0.04263114071606999
2012-07-06,0.008051874020236882
2012-07-09,0.013903058198296847
2012-07-10,0.019441615951123703
2012-07-11,0.017273565065337282
2012-07-12,0.009834441771614744
2012-07-13,0.028772919605077885
2012-07-16,0.02614363759994398
2012-07-17,0.04361851332398348
2012-07-18,0.04153265277583573
2012-07-19,0.038482989403235024
2012-07-20,0.036748329621381304
2012-07-23,0.03372657876474694
2012-07-24,-0.0061668514412417386
2012-07-25,-0.0008750921149595081
2012-07-26,0.025482820312858312
2012-07-27,0.03666392543859631
2012-07-30,0.02656900434475995
2012-07-31,0.01731424676209925
2012-08-01,0.0239484257598801
2012-08-02,0.023553437712729552
2012-08-03,0.04023001516832281
2012-08-06,0.04306360336392112
2012-08-07,0.03912760270434146
2012-08-08,0.04718120805369086
2012-08-09,0.03855668724509087
2012-08-10,0.032634032634032195
2012-08-13,0.028313373032563316
2012-08-14,0.025407827641773517
2012-08-15,0.03490190033690732
2012-08-16,0.04467519922723917
2012-08-17,0.04414049677207488
2012-08-20,0.0408604027138455
2012-08-21,0.03760085248896239
2012-08-22,0.03086446474178528
2012-08-23,0.026807456093092652
2012-08-24,0.028438869318669235
2012-08-27,0.02196459949427787
2012-08-28,0.016737206617929212
2012-08-29,0.016410562434730158
2012-08-30,0.005252636951343481
2012-08-31,0.003055573238270659
2012-09-04,0.01738412348868179
2012-09-05,0.002453416805904718
2012-09-06,0.02957681110501631
2012-09-07,0.04012456077597948
2012-09-10,0.02963647048946294
2012-09-11,0.044575062229380125
2012-09-12,0.037215411558668476
2012-09-13,0.055797733217087364
2012-09-14,0.06785544558546963
2012-09-17,0.0565928975810599
2012-09-18,0.04590601272316808
2012-09-19,0.04626334519572928
2012-09-20,0.04276570589913953
2012-09-21,0.03312267582451045
2012-09-24,0.016987289939388583
2012-09-25,0.02121077321255216
2012-09-26,-0.005754088431254245
2012-09-27,0.017213263272331414
2012-09-28,-0.006431643686940269
2012-10-01,-0.008484264997894564
2012-10-02,0.0034803480348029048
2012-10-03,-0.008527890395638615
2012-10-04,0.0013145315487566034
2012-10-05,0.009860246903762526
2012-10-08,0.001012929750342062
2012-10-09,-0.010975270908586299
2012-10-10,-0.01604193138500687
2012-10-11,-0.005934423626548613
2012-10-12,-0.010370723566575868
2012-10-15,0.001730620039385844
2012-10-16,0.015778582514226036
2012-10-17,0.02166000358016551
2012-10-18,0.01827800871139007
2012-10-19,0.018237505220659367
