Date,f_rtn
2011-03-03,0.012608069164265157
2011-03-04,0.02963498373689899
2011-03-07,0.03749098774333093
2011-03-08,0.029443447037702075
2011-03-09,0.025659559089266315
2011-03-10,0.06446832160059279
2011-03-11,0.04809470958194595
2011-03-14,0.04102946661693396
2011-03-15,0.06302201974183741
2011-03-16,0.0701822411787516
2011-03-17,0.053652968036529636
2011-03-18,0.02732447817836814
2011-03-21,0.03113278319579882
2011-03-22,0.0386346586646662
2011-03-23,0.040449438202247334
2011-03-24,0.029651593773165397
2011-03-25,0.020430906389301562
2011-03-28,0.010756676557863498
2011-03-29,0.009562339095255501
2011-03-30,0.02109858130229192
2011-03-31,0.012013105205678887
2011-04-01,-0.02490217004624684
2011-04-04,-0.051948051948051854
2011-04-05,-0.0708825573314803
2011-04-06,-0.06103941402162538
2011-04-07,-0.04615926708949958
2011-04-08,-0.03619909502262442
2011-04-11,-0.03247440875397101
2011-04-12,-0.03152991759226076
2011-04-13,-0.034642857142857086
2011-04-14,-0.02644927536231889
2011-04-15,-0.03250270855904669
2011-04-18,0.005171776874769218
2011-04-19,-0.012731902510003557
2011-04-20,-0.022029613578909424
2011-04-21,-0.042836573074154116
2011-04-25,-0.042836573074154116
2011-04-26,-0.028758645795413096
2011-04-27,-0.02091743119266054
2011-04-28,-0.02805100182149356
2011-04-29,-0.038831492696829395
2011-05-02,-0.0474820143884892
2011-05-03,-0.031375410434148154
2011-05-04,-0.018881895594224374
2011-05-05,-0.02281226626776367
2011-05-06,-0.026374442793462127
2011-05-09,-0.04728481714074628
2011-05-10,-0.05344889851932111
2011-05-11,-0.05180591025173298
2011-05-12,-0.04587495375508699
2011-05-13,-0.027007029226785106
2011-05-16,-0.03423892817268337
2011-05-17,-0.048525569242254596
2011-05-18,-0.044836457184858625
2011-05-19,-0.033161385408990496
2011-05-20,-0.01477104874446078
2011-05-23,-0.002632568634825083
2011-05-24,-0.0075216246709288725
2011-05-25,-0.010869565217391242
2011-05-26,-0.008245877061469176
2011-05-27,0.002248875562218755
2011-05-31,0.0003706449221645425
2011-06-01,0.029078549848942536
2011-06-02,0.036534839924670326
2011-06-03,0.04415094339622638
2011-06-06,0.06659012629161887
2011-06-07,0.0766882869133918
2011-06-08,0.07056998836758432
2011-06-09,0.03739030904235019
2011-06-10,0.04193920738745671
2011-06-13,0.0608763086467623
2011-06-14,0.040304182509505626
2011-06-15,0.04354527938342967
2011-06-16,0.04982346018046302
2011-06-17,0.035013466717968456
2011-06-20,0.030106707317073322
2011-06-21,0.02398800599700146
2011-06-22,0.035822021116138636
2011-06-23,0.03334596438044701
2011-06-24,0.04244031830238737
2011-06-27,0.02645502645502651
2011-06-28,0.015706806282722585
2011-06-29,-0.022971470915153613
2011-06-30,-0.03559633027522935
2011-07-01,-0.03851744186046502
2011-07-05,-0.05493314058547172
2011-07-06,-0.11589522784355943
2011-07-07,-0.14635010630758327
2011-07-08,-0.20572256428830138
2011-07-11,-0.17579992644354547
2011-07-12,-0.14697193500738537
2011-07-13,-0.13888888888888895
2011-07-14,-0.14181286549707595
2011-07-15,-0.12333825701624812
2011-07-18,-0.1128550074738417
2011-07-19,-0.11598513011152412
2011-07-20,-0.16500184979652244
2011-07-21,-0.18448023426061488
2011-07-22,-0.18238077903167083
2011-07-25,-0.16978364503116972
2011-07-26,-0.18429661941112319
2011-07-27,-0.17157584683357885
2011-07-28,-0.1704712812960235
2011-07-29,-0.12665908229048162
2011-08-01,-0.12176560121765612
2011-08-02,-0.13189720332577481
2011-08-03,-0.12351816443594632
2011-08-04,-0.07305194805194803
2011-08-05,-0.0888335408883354
2011-08-08,0.022343821249430018
2011-08-09,-0.0058009817045960865
2011-08-10,-0.07099567099567106
2011-08-11,-0.11247877758913405
2011-08-12,-0.11115843270868819
2011-08-15,-0.11331086773378252
2011-08-16,-0.10025273799494516
2011-08-17,-0.10092514718250645
2011-08-18,-0.052724856003544596
2011-08-19,-0.04263913824057464
2011-08-22,-0.050311665182546816
2011-08-23,-0.17888692579505305
2011-08-24,-0.18003565062388605
2011-08-25,-0.16666666666666663
2011-08-26,-0.13848202396804266
2011-08-29,-0.18801563178462877
2011-08-30,-0.20883882149046784
2011-08-31,-0.21070962124510229
2011-09-01,-0.2473821989528796
2011-09-02,-0.25525394045534144
2011-09-06,-0.17312072892938501
2011-09-07,-0.19045495093666387
2011-09-08,-0.1853680430879714
2011-09-09,-0.15424044734389575
2011-09-12,-0.13199426111908186
2011-09-13,-0.05079060852898909
2011-09-14,-0.05890736342042768
2011-09-15,-0.055243445692883864
2011-09-16,-0.06922357343311514
2011-09-19,-0.0767072029934519
2011-09-20,-0.08907641819034218
2011-09-21,-0.10782934833567737
2011-09-22,0.06347498655190953
2011-09-23,0.10923913043478262
2011-09-26,0.0789333333333333
2011-09-27,0.03297269448737761
2011-09-28,0.14224598930481291
2011-09-29,0.16210295728368007
2011-09-30,0.10976282404853843
2011-10-03,0.12753623188405783
2011-10-04,0.15931804820693696
2011-10-05,0.1570247933884299
2011-10-06,0.15977961432506893
2011-10-07,0.16088154269972454
2011-10-10,0.17906336088154262
2011-10-11,0.1338842975206611
2011-10-12,0.03230691569914179
2011-10-13,0.06663301362948015
2011-10-14,0.04162537165510405
2011-10-17,0.057788944723618174
2011-10-18,0.06636271529888571
2011-10-19,0.039114770972722646
2011-10-20,0.06095638465580655
2011-10-21,-0.0070814365199798335
2011-10-24,-0.032827045565899104
2011-10-25,-0.053386060306475636
2011-10-26,-0.04588528678304249
2011-10-27,-0.0800561797752809
2011-10-28,-0.06220546654099912
2011-10-31,0.040755467196819106
2011-11-01,0.07660668380462732
2011-11-02,0.06693711967545646
2011-11-03,0.018095238095237942
2011-11-04,0.017577197149643675
2011-11-07,-0.006169909824394804
2011-11-08,-0.045327102803738306
2011-11-09,0.013119533527697014
2011-11-10,0.019559902200489088
2011-11-11,-0.024136299100804504
2011-11-14,-0.033301617507136005
2011-11-15,-0.03467933491686459
2011-11-16,-0.03467933491686459
2011-11-17,-0.030708271421495792
2011-11-18,-0.0208023774145617
2011-11-21,-0.0030565461029036234
2011-11-22,0.012664640324214771
2011-11-23,0.039164490861618884
2011-11-25,0.040250914793517945
2011-11-28,0.009160305343511421
2011-11-29,-0.01005025125628134
2011-11-30,-0.057306590257879764
2011-12-01,-0.014326647564469996
2011-12-02,-0.0061787072243345564
2011-12-05,-0.02198316183348914
2011-12-06,-0.03081232492997199
2011-12-07,-0.006208213944603802
2011-12-08,0.03622124326970155
2011-12-09,0.016306954436450916
2011-12-12,0.020623501199040772
2011-12-13,0.025703200775945456
2011-12-14,0.04527559055118102
2011-12-15,0.06200787401574792
2011-12-16,0.06200787401574792
2011-12-19,0.12979049565661716
2011-12-20,0.1279716742539201
2011-12-21,0.13643331630045985
2011-12-22,0.12756378189094542
2011-12-23,0.14020100502512567
2011-12-27,0.12814070351758788
2011-12-28,0.103378719112456
2011-12-29,0.11573604060913723
2011-12-30,0.12462006079027366
2012-01-03,0.07945736434108519
2012-01-04,0.06551889048302262
2012-01-05,0.057388809182209455
2012-01-06,0.048651252408477674
2012-01-09,0.042287361845266824
2012-01-10,0.03164855928200283
2012-01-11,0.008966493629070316
2012-01-12,0.012218045112781795
2012-01-13,0.012293144208037843
2012-01-17,0.020715630885122405
2012-01-18,0.004633920296571059
2012-01-19,0.004633920296571059
2012-01-20,0.004975124378109319
2012-01-23,-0.013004484304932729
2012-01-24,0.007643884892086339
2012-01-25,-0.023513753327417786
2012-01-26,-0.047157338034376384
2012-01-27,-0.029398663697104643
2012-01-30,-0.030164533820840944
2012-01-31,-0.011373976342129222
2012-02-01,-0.02297297297297285
2012-02-02,-0.030520646319569078
2012-02-03,-0.09380610412926393
2012-02-06,-0.06467661691542292
2012-02-07,-0.030316949931097903
2012-02-08,-0.0216689718764409
2012-02-09,-0.05998168498168488
2012-02-10,-0.03975678203928901
2012-02-13,-0.05106778087279473
2012-02-14,-0.03783278841662774
2012-02-15,-0.04981549815498143
2012-02-16,-0.035516605166051596
2012-02-17,-0.0530442804428044
2012-02-21,-0.07785778577857783
2012-02-22,-0.07496592457973661
2012-02-23,-0.09058456046407859
2012-02-24,-0.07087687414811461
2012-02-27,-0.06706753006475485
2012-02-28,-0.08811381367599813
2012-02-29,-0.06361922714420354
2012-03-01,-0.07501150483202945
2012-03-02,-0.08390963577685573
2012-03-05,-0.08888888888888902
2012-03-06,-0.06389301634472522
2012-03-07,-0.08558994197292069
2012-03-08,-0.10942681193747028
2012-03-09,-0.1272384542884072
2012-03-12,-0.0905991232342912
2012-03-13,-0.08037018996590362
2012-03-14,-0.07925636007827797
2012-03-15,-0.11941747572815542
2012-03-16,-0.11990291262135933
2012-03-19,-0.16929698708751795
2012-03-20,-0.1500243546030201
2012-03-21,-0.1337237676915568
2012-03-22,-0.15667976424361485
2012-03-23,-0.15309126594700673
2012-03-26,-0.15061124694376515
2012-03-27,-0.12394645513138325
2012-03-28,-0.11222949169602414
2012-03-29,-0.09914443885254165
2012-03-30,-0.11293532338308476
2012-04-02,-0.11877201811776539
2012-04-03,-0.13160569105691056
2012-04-04,-0.12222222222222212
2012-04-05,-0.12215758857747216
2012-04-09,-0.12553191489361704
2012-04-10,-0.11231101511879038
2012-04-11,-0.12372790573111958
2012-04-12,-0.1424788135593219
2012-04-13,-0.14665249734325192
2012-04-16,-0.1571113561190739
2012-04-17,-0.17209045780474352
2012-04-18,-0.14565342544617166
2012-04-19,-0.16045845272206294
2012-04-20,-0.15042253521126758
2012-04-23,-0.11706464764123481
2012-04-24,-0.12398609501738134
2012-04-25,-0.13471502590673579
2012-04-26,-0.14204867006225252
2012-04-27,-0.13548752834467126
2012-04-30,-0.1782122905027932
2012-05-01,-0.18339876612450912
2012-05-02,-0.17075956596230735
2012-05-03,-0.1667641895845523
2012-05-04,-0.14165159734779986
2012-05-07,-0.09819277108433744
2012-05-08,-0.09610705596107072
2012-05-09,-0.09610705596107072
2012-05-10,-0.09963325183374072
2012-05-11,-0.11365040148239658
2012-05-14,-0.09339975093399744
2012-05-15,-0.06867233485938518
2012-05-16,-0.05129913391072616
2012-05-17,-0.022911051212938016
2012-05-18,0.034812286689419825
2012-05-21,-0.005968169761273234
2012-05-22,-0.04485488126649073
2012-05-23,-0.01984126984126977
2012-05-24,-0.043912175648702645
2012-05-25,-0.0521108179419526
2012-05-29,-0.028196721311475437
2012-05-30,-0.011556764106050443
2012-05-31,-0.0013736263736264798
2012-06-01,0.0013774104683195176
2012-06-04,0.1095505617977528
2012-06-05,0.1004213483146068
2012-06-06,0.046760187040748136
2012-06-07,0.054508748317631195
2012-06-08,0.054508748317631195
2012-06-11,0.00746775288526802
2012-06-12,0.028571428571428692
2012-06-13,0.016483516483516425
2012-06-14,0.0393258426966292
2012-06-15,0.03651685393258419
2012-06-18,0.02344827586206888
2012-06-19,-0.00527704485488123
2012-06-20,-0.016677785190126748
2012-06-21,0.006906077348066253
2012-06-22,-0.012820512820512775
2012-06-25,0.018093249826026447
2012-06-26,0.03897007654836471
2012-06-27,0.03441295546558698
2012-06-28,0.038514442916093516
2012-06-29,0.038514442916093516
2012-07-02,0.02063273727647874
2012-07-03,-0.06075949367088618
2012-07-05,-0.00765794511805995
2012-07-06,0.00957243139757491
2012-07-09,0.049138481174218374
2012-07-10,0.04977664326738984
2012-07-11,0.09636118598382737
2012-07-12,0.10230352303523027
2012-07-13,0.09932432432432425
2012-07-16,0.09932432432432425
2012-07-17,0.09417344173441733
2012-07-18,0.09366576819407002
2012-07-19,0.06896551724137945
2012-07-20,0.09837177747625514
2012-07-23,0.12345679012345667
