Date,f_rtn
2011-03-31,0.021301227135911205
2011-04-01,-0.01827318410232992
2011-04-04,-0.04986583184257598
2011-04-05,-0.048143982002249675
2011-04-06,-0.04969778374748146
2011-04-07,-0.03700381251401674
2011-04-08,-0.035570469798657744
2011-04-11,-0.03905540417802
2011-04-12,-0.02995655156643029
2011-04-13,-0.04413761883205081
2011-04-14,-0.04355675919656965
2011-04-15,-0.054459883460331704
2011-04-18,-0.014344262295082011
2011-04-19,-0.01778791334093499
2011-04-20,-0.04033161550526565
2011-04-21,-0.07665042091271601
2011-04-25,-0.05887620326841281
2011-04-26,-0.05366726296958857
2011-04-27,-0.038382920735861914
2011-04-28,-0.026021456288518596
2011-04-29,-0.006830601092896238
2011-05-02,-0.02539106778508271
2011-05-03,0.003489995346672936
2011-05-04,-0.002353494939985934
2011-05-05,-0.00472701489009697
2011-05-06,-0.0018845700824500211
2011-05-09,-0.0291103865859339
2011-05-10,-0.026907909997680224
2011-05-11,-0.030718336483931852
2011-05-12,-0.03936822253653938
2011-05-13,-0.021548662088562542
2011-05-16,-0.043652666352052893
2011-05-17,-0.04313818440388717
2011-05-18,-0.06860706860706856
2011-05-19,-0.06524262827954497
2011-05-20,-0.042260098062105844
2011-05-23,-0.02471209213051828
2011-05-24,-0.045432921027592665
2011-05-25,-0.030009451795841247
2011-05-26,-0.013698630136986467
2011-05-27,-0.017108038434497375
2011-05-31,-0.03736817973406681
2011-06-01,-0.013724121888811447
2011-06-02,-0.0039415719916531256
2011-06-03,0.01415428167020516
2011-06-06,0.004986938969365973
2011-06-07,0.015813075289119682
2011-06-08,0.015351403214200143
2011-06-09,-0.011442193087008445
2011-06-10,0.0014627011214041197
2011-06-13,0.025276073619632022
2011-06-14,0.002420135527589684
2011-06-15,0.022205773501110304
2011-06-16,0.022046073817191036
2011-06-17,0.03125
2011-06-20,0.03750620963735729
2011-06-21,0.024865919063871145
2011-06-22,0.04231242312423111
2011-06-23,0.04610017443309222
2011-06-24,0.025578562728380216
2011-06-27,-0.002394636015325746
2011-06-28,0.002384358607534498
2011-06-29,0.002619671350321484
2011-06-30,-0.02004716981132082
2011-07-01,-0.039338919925512084
2011-07-05,-0.057920446615492005
2011-07-06,-0.06994328922495274
2011-07-07,-0.11291821561338289
2011-07-08,-0.15993385305929597
2011-07-11,-0.11405835543766574
2011-07-12,-0.13169425511197652
2011-07-13,-0.13499281953087605
2011-07-14,-0.1149203283437954
2011-07-15,-0.08665218440743416
2011-07-18,-0.0870092098885118
2011-07-19,-0.09403559403559392
2011-07-20,-0.09815657170217862
2011-07-21,-0.1470028544243578
2011-07-22,-0.1661552985603021
2011-07-25,-0.13768461171986646
2011-07-26,-0.1475059382422803
2011-07-27,-0.14138262121939493
2011-07-28,-0.143196955280685
2011-07-29,-0.12185273159144894
2011-08-01,-0.10445246690734045
2011-08-02,-0.08262660528228749
2011-08-03,-0.06666666666666676
2011-08-04,-0.06453252032520318
2011-08-05,-0.05002619172341527
2011-08-08,0.019966254218222845
2011-08-09,-0.012792596624931929
2011-08-10,-0.006728343145500526
2011-08-11,-0.03237410071942448
2011-08-12,-0.045008183306055605
2011-08-15,-0.07558139534883734
2011-08-16,-0.06397663923546604
2011-08-17,-0.058667374568622255
2011-08-18,-0.0857446243695249
2011-08-19,-0.042387060791968634
2011-08-22,-0.04953297480894425
2011-08-23,-0.1483425414364642
2011-08-24,-0.1253831150738367
2011-08-25,-0.13419066256639656
2011-08-26,-0.09911160466407554
2011-08-29,-0.13416283473086288
2011-08-30,-0.14243482934694973
2011-08-31,-0.190702588483888
2011-09-01,-0.21772486772486765
2011-09-02,-0.22949483976099938
2011-09-06,-0.16956162117452445
2011-09-07,-0.15301902398676603
2011-09-08,-0.14805624483043844
2011-09-09,-0.08862545865086091
2011-09-12,-0.056905919359450996
2011-09-13,-0.020565552699228773
2011-09-14,-0.036878216123499175
2011-09-15,-0.03289846851956879
2011-09-16,-0.057811618725324476
2011-09-19,-0.06097560975609739
2011-09-20,-0.03348864298194543
2011-09-21,-0.056879094699225585
2011-09-22,0.027246188777165115
2011-09-23,0.1035361580121057
2011-09-26,0.10590894413948981
2011-09-27,0.06471494607087802
2011-09-28,0.1599500156201188
2011-09-29,0.16139141335004714
2011-09-30,0.158616187989556
2011-10-03,0.18092661481230987
2011-10-04,0.2781106802960873
2011-10-05,0.22343957503320055
2011-10-06,0.17122395833333326
2011-10-07,0.19708737864077674
2011-10-10,0.13192938990399505
2011-10-11,0.06579745300181927
2011-10-12,0.038203557888597306
2011-10-13,0.06470762837637278
2011-10-14,0.0390029325513197
2011-10-17,0.08290930859024259
2011-10-18,0.09183673469387754
2011-10-19,0.02078939439590255
2011-10-20,0.07546574044837384
2011-10-21,0.046416166719292606
2011-10-24,-0.051385681293302565
2011-10-25,-0.051970802919708015
2011-10-26,-0.056439942112879726
2011-10-27,-0.10234311877188274
2011-10-28,-0.09093362115488413
2011-10-31,-0.0033802816901408184
2011-11-01,0.016895761741122506
2011-11-02,-0.020683949255377865
2011-11-03,-0.037991858887381214
2011-11-04,-0.01195108393551969
2011-11-07,-0.04541768045417682
2011-11-08,-0.05690834473324213
2011-11-09,-0.005689900426742445
2011-11-10,-0.0561797752808989
2011-11-11,-0.06551435740172828
2011-11-14,-0.06181202370872141
2011-11-15,-0.08181315644002218
2011-11-16,-0.04899461908807712
2011-11-17,-0.02007083825265643
2011-11-18,0.002055196711685303
2011-11-21,0.025648762824381555
2011-11-22,0.047169811320754595
2011-11-23,0.06559901447489991
2011-11-25,0.048773006134969155
