Date,f_rtn
2014-07-14,-0.08336276933945608
2014-07-15,-0.08336276933945608
2014-07-16,-0.08336276933945608
2014-07-17,-0.08956356736242888
2014-07-18,-0.08956356736242888
2014-07-21,-0.10474383301707779
2014-07-22,-0.10474383301707779
2014-07-23,-0.10474383301707779
2014-07-24,-0.10474383301707779
2014-07-25,-0.2387096774193549
2014-07-28,-0.38173302107728335
2014-07-29,-0.27634660421545665
2014-07-30,-0.27634660421545665
2014-07-31,-0.16672553867891216
2014-08-01,-0.4443659484281173
2014-08-04,-0.4443659484281173
2014-08-05,-0.4443659484281173
2014-08-06,-0.49982338396326387
2014-08-07,-0.4602341542188131
2014-08-08,-0.4602341542188131
2014-08-11,-0.36495761001211147
2014-08-12,-0.3938342967244701
2014-08-13,-0.3938342967244701
2014-08-14,-0.3938342967244701
2014-08-15,-0.3443101292205085
2014-08-18,-0.3443101292205085
2014-08-19,-0.499788045782111
2014-08-20,-0.499788045782111
2014-08-21,-0.5998304366256888
2014-08-22,-0.5998304366256888
2014-08-25,-0.4317048853439681
2014-08-26,-0.23376623376623373
2014-08-27,-0.545538603791031
2014-08-28,-0.545538603791031
2014-08-29,-0.5832980076303518
2014-09-02,-0.3750794659885569
2014-09-03,-0.3750794659885569
2014-09-04,-0.3750794659885569
2014-09-05,-0.3057909604519774
2014-09-08,-0.26477187733732244
2014-09-09,-0.26477187733732244
2014-09-10,-0.3750794659885569
2014-09-11,-0.3750794659885569
2014-09-12,-0.3750794659885569
2014-09-15,-0.3750794659885569
2014-09-16,-0.3750794659885569
2014-09-17,-0.3750794659885569
2014-09-18,-0.16694915254237297
2014-09-19,-0.16694915254237297
2014-09-22,0.041313559322033955
2014-09-23,0.041313559322033955
2014-09-24,-0.13771929824561413
2014-09-25,-0.3057909604519774
2014-12-29,0.0
2014-12-30,0.0
2014-12-31,0.0
2015-01-02,0.0
2015-01-05,0.0
2015-01-06,-0.03967446592065105
2015-01-07,-0.15971515768056965
2015-01-08,-0.15971515768056965
2015-01-09,-0.15971515768056965
2015-01-12,-0.15971515768056965
2015-01-13,-0.15971515768056965
2015-01-14,-0.15971515768056965
2015-01-15,-0.15971515768056965
2015-01-16,-0.15971515768056965
2015-01-20,-0.15971515768056965
2015-01-21,-0.3601220752797558
2015-01-22,-0.15971515768056965
2015-01-23,-0.15971515768056965
2015-01-26,-0.15971515768056965
2015-01-27,-0.27975584944048826
2015-01-28,-0.5198372329603256
2015-01-29,-0.600203458799593
2015-01-30,-0.600203458799593
2015-02-02,-0.600203458799593
2015-02-03,-0.6398779247202442
2015-02-04,-0.6398779247202442
2015-02-05,-0.625
2015-02-06,-0.5714285714285714
2015-02-09,-0.7142857142857143
2015-02-10,-0.7142857142857143
2015-02-11,-0.7142857142857143
2015-02-12,-0.7142857142857143
2015-02-13,-0.7615012106537531
2015-02-17,-0.7615012106537531
2015-02-18,-0.6186440677966102
2015-02-19,-0.6186440677966102
2015-02-20,-0.4992050874403815
2015-02-23,-0.6186440677966102
2015-02-24,-0.7142857142857143
2015-02-25,-0.7142857142857143
2015-02-26,-0.6666666666666667
2015-02-27,-0.4173728813559322
2015-03-02,-0.30025445292620867
2015-03-03,-0.30025445292620867
2015-03-04,-0.30025445292620867
2015-03-05,-0.2231638418079096
2015-03-06,-0.2231638418079096
2015-03-09,-0.33333333333333337
2015-03-10,-0.33333333333333337
2015-03-11,0.0
2015-03-12,-0.1652542372881356
2015-03-13,-0.1652542372881356
2015-03-16,-0.1652542372881356
2015-03-17,0.19796954314720816
2015-03-18,0.19796954314720816
2015-03-19,385.0031746031746
2015-03-20,389.25079365079364
2015-03-23,389.25079365079364
2015-03-24,386.87619047619046
2015-03-25,513.885593220339
2015-03-26,514.8855932203389
2015-03-27,516.8855932203389
2015-03-30,442.86545454545455
2015-03-31,438.8618181818182
2015-04-01,444.24
2015-04-02,444.15272727272725
2015-04-06,442.0072727272727
2015-04-07,428.45090909090914
2015-04-08,505.22033898305085
2015-04-09,504.885593220339
2015-04-10,506.55508474576277
2015-04-13,604.0406091370559
2015-04-14,602.2436548223351
2015-04-15,599.0507614213199
2015-04-16,496.4533898305085
2015-04-17,496.5550847457627
2015-04-23,-0.03195137798027814
2015-04-24,-0.05246931155382373
2015-04-27,-0.040307819961115765
2015-04-28,-0.039588806770283314
2015-04-29,-0.022656012113930313
2015-04-30,-0.007104781148099759
2015-05-01,-0.0037309464003729698
2015-05-04,0.0006472067702743001
2015-05-05,0.007151006101089763
2015-05-06,-0.007064627044862326
2015-05-07,-0.013813440943659772
2015-05-08,0.0
2015-05-11,0.03090627355015685
2015-05-12,0.026467338534168272
2015-05-13,0.02437410481702673
2015-05-14,0.03282602706561022
2015-05-15,0.026058577265443583
2015-05-18,0.0198503858161041
2015-05-19,0.033728110988918036
2015-05-20,0.03638020766786765
2015-05-21,0.024782197695511154
2015-05-22,0.021647154775457533
2015-05-26,0.03646150808300197
2015-05-27,0.013994608981640067
2015-05-28,0.0181006272157076
2015-05-29,0.013245200404176538
2015-06-01,0.0058485821117766346
2015-06-02,0.01304151439247736
2015-06-03,0.017389595716461148
2015-06-04,0.02376320520081765
2015-06-05,0.024059024807527862
2015-06-08,0.022149329887513947
2015-06-09,0.005171267453027539
2015-06-10,0.012920023983769902
2015-06-11,0.01397700399575963
2015-06-12,0.01286192037547318
2015-06-15,0.0019076102331971878
2015-06-16,0.025086059575303077
2015-06-17,0.03634548424891504
2015-06-18,0.026580030606315974
2015-06-19,0.031026547217884337
2015-06-22,0.044833919207532436
2015-06-23,0.04120445057960653
