,Date,Market,Ticker,f_rtn,div_yield,pe,pb,pcf
0,2016-01-04,Developed,ENZL,-0.03545654220269856,1.6810604061370236,-0.17712468662403422,0.28437082711979633,0.5967579652822821
1,2016-01-04,Developed,EWA,-0.07197943444730083,1.5455554501715605,-0.25863627593758787,0.20801307639496466,-0.6132919427167622
2,2016-01-04,Developed,EWG,-0.055148642826368,-0.4671145834529934,-0.24968197064364303,-0.020659347691735556,-0.7359388854607578
3,2016-01-04,Developed,EWH,-0.09806224310041113,-0.15576231305803492,-1.123667852563759,-1.0860604050492288,2.6742017643547307
4,2016-01-04,Developed,EWI,-0.14176245210727967,0.5577792526196117,2.9126954107449357,-1.2790591293222286,-0.6607711995031245
5,2016-01-04,Developed,EWJ,-0.06374859708193037,-1.7458828368608599,-0.7124733616011026,-0.7253151260342765,-0.30818855295351116
6,2016-01-04,Developed,EWL,-0.05112620664998213,-0.13372302020364923,-0.04788116786602303,1.37121618717429,0.43250033924031106
7,2016-01-04,Developed,EWN,-0.012177985948477854,-0.3778565593651243,-0.33622807242348607,0.5849918929655904,0.10005189428649262
8,2016-01-04,Developed,EWO,-0.08164739884393057,-0.44788858075610466,-0.24577131486220588,-1.3239518751552004,-1.5352510809055915
9,2016-01-04,Developed,EWQ,-0.0348189415041783,0.11111106156621561,-0.24474796568575483,-0.3501400358587258,-0.5094057056457474
10,2016-01-04,Developed,EWU,-0.047247023809523836,0.8672522896682583,1.0268730306090437,0.24468884642815192,0.08834596312614645
11,2016-01-04,Developed,VOO,-0.04840328197863164,-1.434530566465901,-0.5433557731463814,2.091905089028606,0.4709894408955279
12,2016-01-04,Emerging,ARGT,-0.06674405107370872,-1.5031391600247792,-0.3977680049794956,0.2367423853348729,-0.4190345677229279
13,2016-01-04,Emerging,ECH,0.019849418206707714,0.16852804530814214,-0.17305411503240137,-0.07066305335285777,0.9197240463903296
14,2016-01-04,Emerging,EPHE,-0.04995403003371135,-0.4246441888422493,-0.21444251187817234,1.7822322198936296,1.9767025248269714
15,2016-01-04,Emerging,EPOL,-0.025324274243360256,1.0438961922039507,0.0573935546583311,-0.7214401554887558,-0.025210747183891418
16,2016-01-04,Emerging,EPU,-0.024496461622210086,-1.0563341005348739,-0.13776499124533742,-0.967914578111747,0.7387868994492787
17,2016-01-04,Emerging,ERUS,0.0022123893805310324,1.6784210049636838,-0.44143370632685003,-1.5366040613826488,-0.7548351099654635
18,2016-01-04,Emerging,EWM,0.05351437699680517,0.05403039704609951,-0.24768751920629864,0.49760329786203866,0.04526182943065624
19,2016-01-04,Emerging,EWW,-0.02539541100467813,-0.8175244997730282,-0.17937334560651189,2.1264501474538062,1.2944883217167813
20,2016-01-04,Emerging,EWY,-0.026479750778816147,-0.9330775323997278,-0.36895026282982885,-1.2116386423707048,-0.48880939605416357
21,2016-01-04,Emerging,EWZ,-0.011061946902654829,1.4319078686933913,3.5696735068052283,-0.5646697287388532,-0.44081165888104523
22,2016-01-04,Emerging,GREK,-0.14020691149387932,-1.1614026213345778,-0.5273907880042634,-0.013328659764162169,-2.2579685301895687
23,2016-01-04,Emerging,KSA,-0.10672308415608832,1.0929523063217392,-0.3042397540876676,0.1294784091375712,0.22491365058665846
24,2016-01-04,Emerging,MCHI,-0.11501360375958447,-0.16272398155506357,-0.36331736585641333,-0.24414719631496337,-0.8333868772288912
25,2016-01-04,Emerging,THD,0.055513016845329284,0.5891102699272946,-0.2716446964103201,0.5578996158427704,0.020179614825270087
26,2016-01-05,Developed,ENZL,-0.018436109345200347,1.688752463271687,-0.18110117822733454,0.27044692227842726,0.5862635404888438
27,2016-01-05,Developed,EWA,-0.041748206131767766,1.635260171434991,-0.2916591648407061,0.14228224317760263,-0.6558758376189078
28,2016-01-05,Developed,EWG,-0.05002174858634178,-0.45229777965636453,-0.24850065723738549,-0.025921323114844977,-0.7411804778393833
29,2016-01-05,Developed,EWH,-0.10825043885313046,-0.15407521521474224,-1.132642196801182,-1.1009352641442094,2.6711927511560725
30,2016-01-05,Developed,EWI,-0.12894961571306585,0.4457276788385116,2.89464706081647,-1.2210519257190795,-0.6221354758894749
31,2016-01-05,Developed,EWJ,-0.0778097982708933,-1.7114597184098808,-0.7240178888975292,-0.7488344973837026,-0.32566432708803505
32,2016-01-05,Developed,EWL,-0.057327122895019726,-0.1359388651846262,-0.03704607421036172,1.390328561014988,0.4424839452785264
33,2016-01-05,Developed,EWN,-0.002824858757062065,-0.38485529897189996,-0.3279008907090513,0.5996108390899638,0.10970829233633396
34,2016-01-05,Developed,EWO,-0.07086044830079541,-0.4688877904634506,-0.2270595548685143,-1.3186341382212772,-1.5319369814667234
