Date,Market,Ticker,f_rtn,gdp_growth,debt_gdp,reer
2016-01-04,Developed,ENZL,-0.03545654220269856,1.8202321444268499,-1.4118086134706282,0.3572342179990597
2016-01-04,Developed,EWA,-0.07197943444730083,0.6037625049081689,-1.1193879180040591,-0.9119892111274728
2016-01-04,Developed,EWC,-0.013367609254498649,-1.1449126018999354,0.6097083682330448,-1.827849299190368
2016-01-04,Developed,EWD,-0.0608302507192765,1.8202321444268499,-1.151172776206947,-0.26656025142960565
2016-01-04,Developed,EWG,-0.055148642826368,-0.3846190772007596,-0.2611967465260846,-0.4585663525687753
2016-01-04,Developed,EWH,-0.09806224310041113,0.0715570376187457,-1.3482388970648524,1.534511063481483
2016-01-04,Developed,EWI,-0.14176245210727967,-0.3846190772007596,1.6967505187718128,-0.3296608480481125
2016-01-04,Developed,EWJ,-0.06374859708193037,-1.2969713068397704,1.6967505187718128,-1.827849299190368
2016-01-04,Developed,EWK,-0.04935225169648372,-0.004472314851171774,0.8480948047547043,-0.1683036081236451
2016-01-04,Developed,EWL,-0.05112620664998213,-0.8407951920202651,-1.4118086134706282,0.8791662957435648
2016-01-04,Developed,EWN,-0.012177985948477854,-0.3085897247308422,-0.44872740992312365,-0.2350099531203529
2016-01-04,Developed,EWO,-0.08164739884393057,-0.5366777821405947,0.2155761265172345,0.1399878782124873
2016-01-04,Developed,EWP,-0.08530020703933737,1.8202321444268499,0.6287792831547778,-0.30982923196801054
2016-01-04,Developed,EWQ,-0.0348189415041783,-0.6127071346105124,0.5334247085461139,-0.5279770088491335
2016-01-04,Developed,EWS,-0.0905373831775701,0.22361574255858097,0.8035960032706615,1.0035646147914774
2016-01-04,Developed,EWU,-0.047247023809523836,0.45170379996833354,0.3045737294853207,1.534511063481483
2016-01-04,Developed,VOO,-0.04840328197863164,-1.2969713068397704,-0.18491308683915383,1.4146199299063205
2016-01-04,Emerging,ARGT,-0.06674405107370872,-0.15186433342776445,0.7248843936761317,-0.63676865202246
2016-01-04,Emerging,ECH,0.019849418206707714,-0.23768240550328792,-1.3346642711541636,-0.29747043390619504
2016-01-04,Emerging,EIDO,0.042034250129735266,0.7957102124061397,-0.6132056071267848,-0.1889739106713434
2016-01-04,Emerging,EPHE,-0.04995403003371135,1.3499519278938947,0.39806978518509656,1.3858695629496938
2016-01-04,Emerging,EPOL,-0.025324274243360256,0.599043797233065,0.41040241192060745,-0.20672788720068258
2016-01-04,Emerging,EPU,-0.024496461622210086,0.599043797233065,-0.9276875888823088,0.7085882360897072
2016-01-04,Emerging,ERUS,0.0022123893805310324,-1.7251956548123597,-1.439491598406005,-1.4205738380584836
2016-01-04,Emerging,EWM,0.05351437699680517,0.6348013272645333,0.9962021818573681,-0.41517272274885336
2016-01-04,Emerging,EWT,0.005847953216374213,-1.1173176442774027,-0.34805413231330345,0.5172398223846044
2016-01-04,Emerging,EWW,-0.02539541100467813,-0.0767735203616815,0.5028971124369381,-0.34415681663149567
2016-01-04,Emerging,EWY,-0.026479750778816147,0.1699534368554482,0.39806978518509656,1.074846196343117
2016-01-04,Emerging,EWZ,-0.011061946902654829,-1.7251956548123597,1.7361597859880131,-1.600086267410694
